LOCALIDADES,Coxcatln,Chalma,Papatlatla,Tezapotla,San Martn Chalchicuautla,Tancanhuitz,Colonia las Flores,Tehuetln,Tampamoln Corona,Nuevo Tampan,Tampate,Chapulhuacanito,Tambaca,Chililico,Chalchocoyo,Coacuilco,Ahuatitla,Agua Buena,Huautla,Matlapa,Huitzitzilingo,Ixcatepec,Chapulhuacn,Calnali,Santa Teresa,Ozuluama de Mascareas,Molango,Tamasopo,Jacala,Potrero del Llano,Chicontepec de Tejeda,Citlaltpec,Tamaln,Tamiahua,Tepetzintla,Tlanchinol,Chinampa de Gorostiza,Jaltocn,San Vicente Tancuayalab,Xilitla,Orizatln,Axtla de Terrazas,El Higo,Tanquin de Escobedo,Platn Snchez,Jalpan de Serra,Tempoal de Snchez,Tamun,Naranjos,Cerro Azul,Tamazunchale,Tantoyuca,Huejutla de Reyes,Pnuco,Ciudad Valles, 
Huitzitzilingo,71.398,47.564,75.593,37.469,38.963,81.646,151.775,47.667,77.01,164.833,87.798,7.087,167.82,33.839,46.447,20.6,1.682,180.048,63.115,38.959,0,111.787,75.255,77.86,74.091,200.046,66.363,196.864,130.7,146.24,102.062,131.339,140.961,189.46,129.608,33.254,149.236,23.356,113.074,85.602,10.898,69.659,121.019,96.089,59.401,167.744,89.11,153.432,156.302,157.046,36.435,78.32,36.975,152.365,142.659, 
Ixcatepec,134.302,64.791,81.538,144.502,96.678,137.992,43.675,90.119,118.186,176.728,150.569,113.985,222.524,78.094,142.716,109.494,113.219,234.752,49.275,145.993,111.787,0,177.354,113.923,90.577,85.586,169.874,253.418,232.798,46.364,50.109,21.09,30.712,79.211,29.731,136.766,38.987,102.873,126.302,187.7,110.098,143.196,104.702,143.236,66.233,269.842,72.792,165.499,46.053,57.17,138.533,44.723,84.423,136.047,195.851, 
Chapulhuacn,92.702,104.47,132.499,23.224,65.566,102.95,208.681,104.573,98.314,186.137,109.102,77.084,189.124,90.745,67.751,77.506,76.687,201.352,120.021,60.263,75.255,177.354,0,146.201,122.855,221.164,133.955,192.686,63.975,195.004,150.826,180.103,189.725,238.224,178.372,100.846,198,72.12,108.896,81.424,59.662,65.481,125.003,91.911,108.165,163.566,137.874,149.254,205.066,205.81,32.257,127.084,85.739,173.483,138.481, 
Calnali,164.082,77.809,22.073,130.152,110.354,174.33,145.932,72.043,169.694,231.943,180.482,99.635,260.504,65.731,139.131,76.093,76.358,272.732,57.397,131.643,77.86,113.923,146.201,0,33.47,187.423,36.209,275.944,209.78,137.841,96.336,122.927,132.549,181.048,121.209,45.298,140.824,79.854,171.372,164.682,87.08,148.739,149.771,188.306,88.153,246.824,117.862,210.569,147.89,148.647,115.515,107.072,66.458,181.117,221.739, 
Santa Teresa,140.736,54.463,11.633,106.806,87.008,150.984,122.586,48.697,146.348,208.597,157.136,76.289,237.158,42.385,115.785,71.798,75.523,249.386,34.051,108.297,74.091,90.577,122.855,33.47,0,164.078,67.696,252.599,186.435,114.496,72.991,99.582,109.204,157.703,97.864,76.785,117.479,56.509,148.027,141.337,63.735,125.394,126.426,164.961,64.808,223.479,94.517,187.224,124.545,125.302,92.17,83.727,43.113,157.772,198.394, 
Ozuluama de Mascareas,165.218,153.05,165.586,208.859,167.03,168.908,46.252,178.378,149.102,166.287,181.485,202.244,224.43,166.353,176.263,197.753,201.478,236.658,133.323,175.445,200.046,85.586,221.164,187.423,164.078,0,197.452,242.035,287.027,83.743,152.458,64.292,56.09,80.477,97.42,164.344,48.068,130.451,114.919,196.436,137.676,172.841,100.6,131.853,93.811,278.578,115.983,154.116,49.486,70.521,192.295,70.804,112.001,88.774,184.468, 
Molango,151.836,96.99,56.299,117.906,119.4,162.084,201.201,69.634,157.448,251.124,168.236,87.389,248.258,84.888,126.885,64.596,64.861,260.486,91.622,119.397,66.363,169.874,133.955,36.209,67.696,197.452,0,258.902,192.738,196.047,132.402,181.146,190.768,239.267,179.415,35.641,199.043,100.876,192.427,147.64,71.789,131.697,170.826,209.361,109.209,229.782,138.917,231.624,206.109,206.853,98.473,128.127,87.513,202.172,204.697, 
Tamasopo,120.667,222.74,254.107,180.381,173.884,108.349,283.473,226.181,125.788,118.999,107.346,198.693,13.786,212.353,154.123,199.114,198.296,5.702,241.629,144.854,196.864,253.418,192.686,275.944,252.599,242.035,258.902,0,257.463,273.631,260.42,258.729,268.351,314.872,256.998,231.802,276.626,203.076,128.365,142.747,190.618,136.733,144.922,145.097,209.932,181.015,179.234,90.318,283.881,284.437,162.73,204.877,228.122,180.628,57.07, 
Jacala,144.388,159.914,187.943,87.05,121.011,154.636,264.125,160.017,150,237.822,160.788,132.529,240.81,146.189,119.436,132.95,132.132,253.038,175.465,111.948,130.7,232.798,63.975,209.78,186.435,287.027,192.738,257.463,0,258.633,214.455,243.732,253.354,301.853,242.001,164.475,261.629,135.749,172.525,145.053,123.291,129.11,188.632,155.54,171.794,227.195,201.503,212.883,268.695,269.439,95.886,190.713,149.368,237.112,202.11, 
Potrero del Llano,168.756,99.244,116.004,178.955,131.131,172.446,38.577,124.572,152.64,211.182,185.023,148.438,256.978,112.547,177.17,143.947,147.672,269.206,83.741,180.446,146.24,46.364,195.004,137.841,114.496,83.743,196.047,273.631,258.633,0,72.367,49.611,40.575,53.966,17.329,160.532,36.953,126.639,150.068,211.466,133.864,166.962,128.467,167.002,89.999,293.608,96.558,189.265,36.623,14.654,162.299,68.489,108.189,159.813,219.617, 
Chicontepec de Tejeda,155.545,82.434,74.499,134.777,114.979,178.955,107.293,76.668,139.429,197.971,185.107,104.26,243.767,70.356,143.756,99.769,103.494,255.995,25.975,136.268,102.062,50.109,150.826,96.336,72.991,152.458,132.402,260.42,214.455,72.367,0,84.554,94.177,133.814,56.322,101.28,102.451,72.514,137.104,157.342,79.74,141.399,115.503,154.038,80.813,239.484,83.594,176.301,105.73,83.761,108.175,55.524,59.118,146.849,206.653, 
Citlaltpec,153.854,84.343,101.09,164.054,116.23,157.544,22.354,109.671,137.738,196.28,170.121,133.537,242.076,97.646,162.268,129.046,132.771,254.304,68.827,165.545,131.339,21.09,180.103,122.927,99.582,64.292,181.146,258.729,243.732,49.611,84.554,0,9.39,57.888,50.06,145.508,17.664,111.615,135.044,196.442,118.84,151.939,113.444,151.978,74.975,278.584,81.534,174.241,24.73,36.739,147.275,53.465,93.165,144.789,204.593, 
Tamaln,163.476,93.965,110.712,173.676,125.852,167.166,14.153,119.293,147.36,205.902,179.743,143.159,251.698,107.268,171.89,138.668,142.393,263.926,78.449,175.167,140.961,30.712,189.725,132.549,109.204,56.09,190.768,268.351,253.354,40.575,94.177,9.39,0,49.552,54.61,155.275,9.328,121.382,144.811,206.209,128.607,161.706,123.211,161.745,84.742,288.351,91.301,184.008,16.394,27.71,157.042,63.232,102.932,139.887,214.36, 
Tamiahua,239.007,142.464,159.211,222.175,174.351,242.697,36.157,167.792,222.891,243.265,255.274,191.658,298.219,155.767,250.052,187.167,190.892,310.447,126.948,223.666,189.46,79.211,238.224,181.048,157.703,80.477,239.267,314.872,301.853,53.966,133.814,57.888,49.552,0,81.832,203.172,41.21,169.279,190.556,272.073,176.504,248.478,176.237,207.49,132.639,354.215,139.198,229.753,33.897,52.008,204.939,111.129,150.829,164.411,260.105, 
Tepetzintla,152.123,82.612,99.372,162.323,114.499,155.813,52.255,107.94,136.007,194.549,168.39,131.806,240.345,95.915,160.537,127.315,131.04,252.573,67.109,163.814,129.608,29.731,178.372,121.209,97.864,97.42,179.415,256.998,242.001,17.329,56.322,50.06,54.61,81.832,0,144.487,51.021,110.594,134.023,195.421,117.819,150.917,112.422,150.957,73.954,277.563,80.513,173.22,50.691,28.722,146.254,52.444,92.144,143.768,203.572, 
Tlanchinol,118.727,63.882,65.388,84.797,86.291,128.975,168.093,36.526,124.339,218.016,135.127,54.28,215.149,51.78,93.776,31.487,31.752,227.377,74.305,86.288,33.254,136.766,100.846,45.298,76.785,164.344,35.641,231.802,164.475,160.532,101.28,145.508,155.275,203.172,144.487,0,164.094,65.926,157.478,112.69,36.839,96.747,135.877,174.412,74.26,194.832,103.968,196.675,171.16,171.904,63.523,93.178,52.564,167.223,169.747, 
Chinampa de Gorostiza,171.751,102.24,118.987,181.951,134.127,175.441,6.131,127.568,155.635,210.857,188.018,151.434,259.973,115.543,180.165,146.943,150.668,272.201,86.724,183.442,149.236,38.987,198,140.824,117.479,48.068,199.043,276.626,261.629,36.953,102.451,17.664,9.328,41.21,51.021,164.094,0,137.319,156.837,222.146,144.544,177.643,139.148,173.771,100.679,304.288,107.238,196.034,7.198,23.969,172.979,79.169,118.869,130.692,226.386, 
Jaltocn,90.001,29.989,58.017,56.071,57.566,100.249,134.2,29.4,95.613,184.123,106.401,25.554,186.423,16.263,65.05,21.064,24.788,198.651,45.539,57.562,23.356,102.873,72.12,79.854,56.509,130.451,100.876,203.076,135.749,126.639,72.514,111.615,121.382,169.279,110.594,65.926,137.319,0,125.036,90.573,12.971,74.63,103.435,101.06,41.817,172.715,71.526,158.403,138.718,139.462,41.406,60.736,19.391,134.781,147.63, 
San Vicente Tancuayalab,52.95,95.624,149.535,96.591,54.762,56.64,156.357,120.952,36.834,65.916,69.217,114.903,111.712,108.927,63.995,115.324,114.506,123.94,137.057,63.177,113.074,126.302,108.896,171.372,148.027,114.919,192.427,128.365,172.525,150.068,137.104,135.044,144.811,190.556,134.023,157.478,156.837,125.036,0,81.879,105.626,58.284,16.469,17.296,81.479,164.021,50.781,39.098,155.428,155.984,77.738,76.424,99.669,64.949,69.45, 
Xilitla,39.6,114.816,142.845,69.119,62.622,39.92,219.027,114.919,45.212,145.063,46.072,87.431,126.094,101.091,42.861,87.852,87.034,138.322,130.367,33.592,85.602,187.7,81.424,164.682,141.337,196.436,147.64,142.747,145.053,211.466,157.342,196.442,206.209,272.073,195.421,112.69,222.146,90.573,81.879,0,78.154,24.269,112.334,79.242,126.657,82.328,115.904,98.114,223.558,224.302,50.266,145.576,104.231,160.814,87.34, 
Orizatln,77.543,37.214,65.243,43.614,45.108,87.791,141.425,37.317,83.155,170.978,93.943,13.096,173.965,23.489,52.592,10.25,12.33,186.193,52.765,45.104,10.898,110.098,59.662,87.08,63.735,137.676,71.789,190.618,123.291,133.864,79.74,118.84,128.607,176.504,117.819,36.839,144.544,12.971,105.626,78.154,0,62.209,110.945,88.639,49.327,160.294,79.036,145.982,146.228,146.972,28.985,68.246,26.9,142.291,135.209, 
