LOCALIDADES,La Gloria,Vargas,Ixhuacn de los Reyes,Pacho Nuevo,Tolome,Medelln,Juchique de Ferrer,Chichiquila,Ayahualulco,Lomas de Ro Medio Cuatro,Ro Medio [Granja],Acatln,Jalcomulco,Fraccionamiento las Fuentes,Yecuatla,Mozomboa,Mesa de Guadalupe,Los Robles,La Gloria,Chiconquiaco,Palma Sola,Miahuatln,Oasis,Tlalixcoyan,Las Amapolas Dos,Fraccionamiento el Campanario,Fraccionamiento Costa Dorada,La Concepcin,Mahuixtln,Totutla,Jilotepec,Delfino Victoria (Santa Fe),Jamapa,Los Altos,Rafael Lucio,Actopan,San Antonio Tenextepec,Villa Emiliano Zapata (El Carrizal),La Estanzuela,Tlaltetela,Cosautln de Carvajal,Ignacio de la Llave,Los Torrentes,Alto Lucero,Las Bajadas,Boca del Monte,Rafael J. Garca,Pacho Viejo,El Castillo,Paso del Toro,Ursulo Galvn,Manlio Fabio Altamirano,Emilio Carranza,Antn Lizardo,Fraccionamiento Arboledas San Ramn,Guadalupe Victoria,Cabezas,Colinas de Santa Fe,Lomas Verdes,Coacoatzintla,San Marcos de Len (San Marcos),Paso de Ovejas,Tuzamapan,Vega de Alatorre,Rinconada,Jacarandas,Colonia Santa Brbara,Piedras Negras,Naolinco de Victoria,Zempoala,Las Vigas de Ramrez,Boca del Ro,Teocelo,El Tejar,Soledad de Doblado,Fraccionamiento Geovillas los Pinos,Fraccionamiento Puente Moreno,Las Amapolas,Xico,Jos Cardel,Banderilla,Valente Daz,Misantla,Huatusco de Chicuellar,Coatepec,Veracruz,Xalapa-Enrquez,Veracruz, 
Piedras Negras,230.476,74.412,192.022,155.047,84.235,47.336,186.25,159.712,196.315,69.208,80.182,199.518,143.363,155.792,208.881,116.229,157.919,41.939,98.409,205.947,142.011,198.141,69.811,15.437,66.855,78.987,79.976,178.963,166.913,153.594,172.048,67.647,54.315,228.231,173.571,140.326,218.512,127.142,155.838,177.303,195.009,22.841,81.148,168.051,62.46,107.385,176.096,160.628,161.412,41.912,96.913,57.215,174.482,55.889,51.603,165.672,93.392,75.553,153.826,178.786,173.171,90.059,164.583,182.818,113.667,151.833,153.123,0,183.734,96.833,188.542,45.363,174.725,43.094,66.759,71.328,46.992,60.7,171.332,85.429,163.721,58.446,209.159,140.017,161.031,55.823,151.042,61.235, 
Naolinco de Victoria,85.546,120.952,100.265,40.81,104.226,144.789,55.876,111.922,95.79,128.248,125.96,7.284,69.022,40.176,42.042,63.46,31.148,165.052,70.909,13.713,109.63,6.384,125.318,177.248,136.176,124.765,125.754,21.195,48.153,144.558,17.718,123.758,144.078,83.301,22.938,39.865,73.582,73.6,43.381,79.5,68.927,198.826,126.926,28.771,135.228,149.066,111.155,41.881,25.139,150.145,103.434,130.791,70.293,162.138,146.043,31.762,97.442,121.331,38.21,11.212,47.089,97.732,52.126,68.093,78.965,39.376,37.507,183.734,0,72.839,38.331,148.673,55.682,144.555,142.954,124.872,146.202,135.135,52.289,99.838,22.922,131.444,49.628,155.411,43.524,143.4,30.863,135.618, 
Zempoala,149.675,31.816,118.148,74.246,26.479,57.888,90.797,103.456,159.919,41.347,39.059,79.695,62.562,74.991,113.427,13.172,49.19,78.151,4.234,86.123,46.558,78.318,38.417,90.347,49.275,37.864,38.853,98.162,86.112,83.224,91.247,36.857,57.177,147.43,92.77,31.597,137.711,46.341,75.037,106.933,114.208,111.925,40.025,59.321,48.327,87.732,132.721,79.827,80.611,63.244,8.252,53.999,79.028,75.237,59.142,84.871,12.088,34.43,73.025,97.985,92.37,36.398,83.782,87.364,32.866,71.032,72.322,96.833,72.839,0,112.092,59.997,98.275,55.879,64.24,36.196,57.526,46.459,94.882,11.273,87.271,42.768,119.458,94.432,84.581,54.724,74.592,46.942, 
Las Vigas de Ramrez,42.46,125.76,57.179,45.618,109.034,149.597,95.905,97.364,52.704,133.056,130.768,47.313,73.83,44.983,82.071,111.03,65.877,169.86,108.642,53.742,152.244,45.936,130.126,182.056,140.984,129.573,130.562,33.458,52.96,149.366,26.543,128.566,148.886,40.215,21.474,74.594,30.496,78.408,48.189,84.308,73.419,203.634,131.734,70.813,140.036,153.874,68.069,46.688,39.9,154.953,108.242,135.599,184.715,166.946,150.851,26.637,102.25,126.139,43.017,26.581,51.896,102.54,56.934,108.122,83.773,44.184,42.314,188.542,38.331,112.092,0,152.617,59.626,148.499,146.898,128.816,150.146,139.079,56.233,103.782,26.361,135.388,98.075,159.355,47.468,147.344,34.807,139.562, 
Boca del Ro,188.614,32.549,157.087,113.185,42.372,16.859,144.388,131.983,198.858,21.489,21.701,157.656,101.501,113.93,167.019,74.367,116.057,26.77,56.547,164.085,100.149,156.279,22.092,38.965,16.452,22.689,22.42,137.101,125.051,111.751,130.186,25.784,23.838,186.369,131.709,98.464,176.65,85.28,113.976,135.46,153.147,60.543,22.667,126.189,13.26,94.207,161.248,118.766,119.55,9.81,55.051,36.138,132.62,16.846,6.821,123.81,51.53,24.925,111.964,136.924,131.309,48.196,122.721,140.956,71.805,109.971,111.261,45.363,148.673,59.997,152.617,0,136.623,8.492,49.738,26.197,7.414,18.836,133.23,47.327,125.619,21.681,171.057,132.121,122.929,5.389,112.94,19.04, 
Teocelo,48.896,111.943,23.887,27.883,95.217,135.78,110.132,55.556,27.859,119.239,116.951,61.54,41.366,27.639,96.298,97.213,55.545,156.043,94.825,67.968,138.427,60.163,116.309,168.239,127.167,115.756,116.745,44.11,18.484,75.032,37.195,114.749,135.069,41.58,38.718,64.262,50.407,64.591,24.643,51.844,14.997,189.817,117.917,62.564,126.219,92.361,46.285,21.706,29.568,141.136,94.425,121.782,170.898,153.129,137.034,28.096,88.433,112.322,26.224,43.933,7.079,88.723,24.47,179.234,69.956,30.166,33.148,174.725,55.682,98.275,59.626,136.623,0,134.397,132.796,114.714,136.044,124.977,10.395,89.68,32.983,121.286,105.621,87.904,12.395,133.242,24.631,125.46, 
El Tejar,184.496,28.432,152.969,109.067,38.255,2.429,140.27,127.866,194.74,21.268,24.107,153.538,97.383,109.812,162.901,70.249,111.939,24.412,52.429,159.967,96.031,152.161,21.871,36.607,16.231,22.468,23.901,132.983,120.933,107.634,126.068,21.667,10.651,182.251,127.591,94.346,172.532,81.162,109.858,131.343,149.029,58.185,22.015,122.071,13.039,82.421,157.131,114.648,115.432,9.505,50.933,23.4,128.502,23.918,2.182,119.692,47.412,29.573,107.846,132.806,127.191,44.079,118.603,136.838,67.687,105.853,107.143,43.094,144.555,55.879,148.499,8.492,134.397,0,35.859,22.947,4.156,15.586,131.62,45.717,124.009,18.431,169.447,117.41,121.319,10.364,111.33,15.79, 
Soledad de Doblado,182.895,33.768,151.368,107.466,38.86,35.794,148.631,85.486,193.139,33.723,36.562,151.937,95.783,108.211,171.262,78.61,110.339,56.058,60.79,158.366,104.392,150.56,34.326,68.253,35.685,34.923,36.356,131.382,119.332,65.254,124.467,30.027,26.303,180.65,125.99,92.746,170.931,79.562,108.257,88.963,147.428,89.831,37.528,120.471,34.737,47.434,114.751,113.047,113.831,41.15,59.294,12.464,136.863,64.603,37.837,118.091,55.773,37.934,106.245,131.205,125.59,44.684,117.002,145.199,66.087,104.252,105.542,66.759,142.954,64.24,146.898,49.738,132.796,35.859,0,36.235,45.166,34.099,129.887,54.094,122.276,30.408,177.824,75.42,119.586,42.364,109.597,40.53, 
Fraccionamiento Geovillas los Pinos,164.813,17.198,133.286,89.384,31.711,25.118,120.587,118.594,175.057,5.155,2.867,133.855,77.7,90.129,143.218,50.566,92.256,52.646,32.746,140.284,76.348,132.478,2.225,64.842,11.169,1.672,2.661,113.3,101.25,98.362,106.385,11.352,31.672,162.568,107.908,74.663,152.849,61.479,90.175,122.071,129.346,86.42,3.833,102.388,10.22,102.87,147.859,94.965,95.749,37.739,31.25,24.736,108.819,39.845,21.036,100.009,27.729,4.258,88.163,113.123,107.508,37.535,98.92,117.155,48.004,86.17,87.46,71.328,124.872,36.196,128.816,26.197,114.714,22.947,36.235,0,21.179,10.113,112.86,26.957,105.249,6.853,150.687,112.41,102.559,18.377,92.57,13.782, 
Fraccionamiento Puente Moreno,186.143,30.078,154.616,110.714,39.901,6.327,141.917,129.512,196.387,19.018,21.857,155.185,99.03,111.459,164.548,71.896,113.586,28.31,54.076,161.614,97.678,153.808,19.621,40.505,13.981,20.218,21.651,134.63,122.58,109.28,127.715,23.313,16.048,183.898,129.238,95.993,174.179,82.809,111.505,132.989,150.676,62.083,19.765,123.718,10.789,91.736,158.777,116.295,117.079,13.403,52.58,33.667,130.149,22.84,2.245,121.339,49.059,26.022,109.493,134.453,128.838,45.725,120.25,138.485,69.334,107.5,108.79,46.992,146.202,57.526,150.146,7.414,136.044,4.156,45.166,21.179,0,13.944,133.91,48.007,126.299,16.789,171.737,119.701,123.609,8.722,113.62,14.148, 
Las Amapolas,175.076,19.011,143.549,99.647,28.834,17.757,130.85,118.445,185.32,7.952,10.791,144.118,87.963,100.392,153.481,60.829,102.519,42.018,43.009,150.547,86.611,142.741,8.555,54.214,1.447,9.152,10.585,123.563,111.513,98.213,116.648,12.246,21.044,172.831,118.171,84.926,163.112,71.742,100.438,121.922,139.609,75.792,11.757,112.651,2.86,80.669,147.71,105.228,106.012,27.111,41.513,22.6,119.082,32.484,13.675,110.272,37.992,13.039,98.426,123.386,117.771,34.658,109.183,127.418,58.267,96.433,97.723,60.7,135.135,46.459,139.079,18.836,124.977,15.586,34.099,10.113,13.944,0,122.91,37.007,115.299,5.79,160.737,108.701,112.609,10.31,102.62,8.476, 
Xico,41.126,108.55,22.102,24.49,91.824,132.387,106.739,66.781,25.779,115.846,113.558,58.147,37.973,24.246,92.905,93.82,52.152,152.65,91.432,64.575,135.034,56.77,112.916,164.846,123.774,112.363,113.352,40.717,15.091,71.639,33.802,111.356,131.676,33.5,35.325,60.869,42.637,61.198,21.25,48.451,25.027,186.424,114.524,59.171,122.826,88.968,49.55,18.313,26.175,137.743,91.032,118.389,167.505,149.736,133.641,24.703,85.04,108.929,22.831,40.54,4.247,85.33,21.077,175.841,66.563,26.773,29.755,171.332,52.289,94.882,56.233,133.23,10.395,131.62,129.887,112.86,133.91,122.91,0,86.367,29.67,117.973,102.308,84.591,9.082,129.929,21.318,122.147, 
Jos Cardel,139.779,19.27,108.252,64.35,14.703,46.484,95.664,93.56,150.023,29.943,27.655,108.821,52.666,65.095,118.295,25.643,67.222,66.747,7.823,115.25,51.425,107.444,27.013,78.943,37.871,26.46,27.449,88.266,76.216,73.328,81.351,25.453,45.773,137.534,82.874,49.629,127.815,36.445,65.141,97.037,104.312,100.521,28.621,77.354,36.923,77.836,122.825,69.931,70.715,51.84,6.327,42.595,83.896,63.833,47.738,74.975,2.695,23.026,63.129,88.089,82.474,26.502,73.886,92.232,22.97,61.136,62.426,85.429,99.838,11.273,103.782,47.327,89.68,45.717,54.094,26.957,48.007,37.007,86.367,0,78.934,32.365,124.487,86.095,76.244,44.321,66.255,36.539, 
Banderilla,65.533,100.939,80.252,19.498,84.213,124.776,80.497,90.61,75.777,108.235,105.947,31.905,47.71,18.864,66.663,86.209,39.758,145.039,83.821,38.334,127.423,30.528,105.305,157.235,116.163,104.752,105.741,11.35,26.841,124.545,4.435,103.745,124.065,63.288,5.453,48.475,53.569,53.587,22.069,58.188,47.615,178.813,106.913,46.777,115.215,129.053,91.142,20.569,13.781,130.132,83.421,110.778,159.894,142.125,126.03,10.45,77.429,101.318,16.898,11.173,25.777,77.719,30.814,92.714,58.952,18.064,16.195,163.721,22.922,87.271,26.361,125.619,32.983,124.009,122.276,105.249,126.299,115.299,29.67,78.934,0,109.98,73.081,133.947,21.452,121.936,8.791,114.154, 
Valente Daz,171.385,15.32,139.858,95.956,25.143,19.501,127.159,114.754,181.629,4.692,7.531,140.427,84.272,96.701,149.79,57.138,98.828,39.764,39.318,146.856,82.92,139.05,5.295,51.96,6.653,5.892,7.325,119.872,107.822,94.522,112.957,8.555,18.79,169.14,114.48,81.235,159.421,68.051,96.747,118.231,135.918,73.538,8.497,108.96,5.705,76.978,144.019,101.537,102.321,24.857,37.822,18.909,115.391,35.329,16.52,106.581,34.301,9.779,94.735,119.695,114.08,30.967,105.492,123.727,54.576,92.742,94.032,58.446,131.444,42.768,135.388,21.681,121.286,18.431,30.408,6.853,16.789,5.79,117.973,32.365,109.98,0,156.933,104.896,108.805,12.63,98.816,10.796, 
Misantla,136.872,144.142,151.591,92.136,138.805,170.214,30.128,215.782,147.116,153.673,151.385,43.474,120.348,91.502,14.877,122.568,80.324,190.477,121.198,35.758,73.065,44.504,150.743,202.673,161.601,150.19,151.179,62.75,99.479,195.55,69.044,149.183,169.503,134.627,74.264,89.041,124.908,124.926,94.707,130.826,120.253,224.251,152.351,77.947,160.653,200.058,162.481,93.207,74.315,175.57,120.581,166.325,40.769,187.563,171.468,83.088,124.414,146.756,89.536,62.538,98.415,148.724,103.452,32.249,145.192,90.702,88.833,209.159,49.628,119.458,98.075,171.057,105.621,169.447,177.824,150.687,171.737,160.737,102.308,124.487,73.081,156.933,0,207.589,91.675,167.881,82.139,160.099, 
Huatusco de Chicuellar,76.505,96.682,66.537,75.524,79.956,118.178,178.823,21.346,70.83,115.396,113.108,164.394,62.074,120.668,201.454,108.802,122.795,138.441,90.982,170.823,134.584,163.017,112.466,155.331,109.564,111.913,112.902,143.839,74.44,13.625,136.924,100.789,117.466,87.358,138.447,105.202,88.89,92.018,72.285,37.334,65.054,163.807,114.074,132.927,108.616,28.168,50.611,76.524,126.288,123.534,90.582,87.02,167.055,146.986,119.432,130.548,84.59,108.479,118.702,143.662,80.698,73.462,63.867,175.391,78.543,116.709,117.999,140.017,155.411,94.432,159.355,132.121,87.904,117.41,75.42,112.41,119.701,108.701,84.591,86.095,133.947,104.896,207.589,0,77.939,117.334,122.723,115.5, 
Coatepec,85.041,98.249,30.967,17.071,81.523,122.086,97.974,73.454,34.644,105.545,103.257,49.382,30.554,15.481,84.14,83.519,43.387,142.349,81.131,55.81,124.733,48.005,102.615,154.545,113.473,102.062,103.051,31.952,7.672,64.22,25.037,101.055,121.375,42.366,26.56,52.104,73.077,50.897,13.831,41.032,27.027,176.123,104.223,50.406,112.525,81.549,58.315,8.422,17.41,127.442,80.731,108.088,157.204,139.435,123.34,15.938,74.739,98.628,14.066,31.775,5.189,75.029,13.658,165.54,56.262,19.354,16.26,161.031,43.524,84.581,47.468,122.929,12.395,121.319,119.586,102.559,123.609,112.609,9.082,76.244,21.452,108.805,91.675,77.939,0,119.716,13.007,111.934, 
Veracruz,183.341,27.276,151.814,107.912,37.099,12.535,139.115,126.71,193.585,16.216,19.055,152.383,96.228,108.657,161.746,69.094,110.784,37.141,51.274,158.812,94.876,151.006,16.819,49.337,11.179,17.416,18.849,131.828,119.778,106.478,124.913,20.511,22.999,181.096,126.436,93.191,171.377,80.007,108.703,130.187,147.874,70.915,16.963,120.916,7.987,88.934,155.975,113.493,114.277,15.491,49.778,30.865,127.347,22.527,8.453,118.537,46.257,20.194,106.691,131.651,126.036,42.923,117.448,135.683,66.532,104.698,105.988,55.823,143.4,54.724,147.344,5.389,133.242,10.364,42.364,18.377,8.722,10.31,129.929,44.321,121.936,12.63,167.881,117.334,119.716,0,107.353,11.094, 
Xalapa-Enrquez,72.38,88.26,43.203,11.136,71.534,112.097,88.438,82.248,46.88,95.556,93.268,39.846,39.348,10.502,74.604,73.53,31.947,132.36,71.142,46.275,114.744,38.469,92.626,144.556,103.484,92.073,93.062,19.291,18.489,73.014,12.376,91.066,111.386,70.135,13.899,40.664,60.416,40.908,13.707,49.826,39.263,166.134,94.234,38.966,102.536,116.375,97.989,12.217,5.97,117.453,70.742,98.099,147.215,129.446,113.351,7.184,64.75,88.639,8.536,19.114,17.425,65.04,22.452,155.551,46.273,9.702,7.833,151.042,30.863,74.592,34.807,112.94,24.631,111.33,109.597,92.57,113.62,102.62,21.318,66.255,8.791,98.816,82.139,122.723,13.007,107.353,0,102.194, 
Veracruz,175.559,25.442,144.032,100.13,35.265,17.961,131.333,124.876,185.803,9.768,11.779,144.601,88.446,100.875,153.964,61.312,103.002,42.553,43.492,151.03,87.094,143.224,13.831,54.749,9.345,13.278,12.498,124.046,111.996,104.644,117.131,18.677,28.411,173.314,118.654,85.409,163.595,72.225,100.921,128.353,140.092,76.327,8.951,113.134,5.002,87.1,154.141,105.711,106.495,27.646,41.996,29.031,119.565,31.175,13.879,110.755,38.475,15.003,98.909,123.869,118.254,41.089,109.666,127.901,58.75,96.916,98.206,61.235,135.618,46.942,139.562,19.04,125.46,15.79,40.53,13.782,14.148,8.476,122.147,36.539,114.154,10.796,160.099,115.5,111.934,11.094,102.194,0, 
