LOCALIDADES,Jos Mara Pino Surez (Nuevo Nahuapa),Sentispac,Jess Mara,Mecatn,Rosa Blanca,Coamiles,La Labor,Guadalupe Victoria,Villa Jurez,Amatln de Caas,Cruz de Huanacaxtle,El Tuito,Pantanal,Pozo de Ibarra,Rosamorada,San Pedro Lagunillas,Jomulco,Yago,Las Palmas de Arriba,Jalcocotn,La Presa,San Cayetano,Santa Mara del Oro,San Vicente,Zacualpan,Jala,El Porvenir,Las Jarretaderas,Ahuacatln,Francisco I. Madero (Puga),Valle de Banderas,Mascota,Talpa de Allende,Tomatln,Las Juntas,La Peita de Jaltemba,Villa Hidalgo,San Blas,San Juan de Abajo,Buceras,Ruz,Las Varas,San Vicente,Compostela,Santiago Ixcuintla,Mezcales,Tuxpan,San Jos del Valle,Ixtln del Ro,Ixtapa,Xalisco,Puerto Vallarta,Tepic, 
Santa Mara del Oro,295.251,121.306,242.949,84.266,68.571,114.078,19.131,130.55,127.371,98.883,176.524,250.089,41.847,115.091,125.686,48.122,49.965,94.034,161.918,73.782,99.07,35.373,0,118.793,117.843,50.375,190.011,188.888,56.128,51.472,190.629,284.069,234.62,303.749,192.794,129.342,103.461,115.207,162.312,179.009,104.986,109.056,189.435,73.571,103.181,185.573,116.915,192.554,60.006,196.87,42.986,203.011,41.206, 
San Vicente,334.635,30.077,161.623,81.793,167.165,8.294,117.96,62.298,56.06,197.477,215.908,289.473,87.478,14.739,27.975,135.439,148.559,36.077,201.302,98.7,34.048,87.18,118.793,0,137.261,151.125,231.294,230.171,156.878,95.837,231.912,325.351,354.084,345.031,234.076,170.624,51.27,81.612,203.595,220.292,22.139,150.338,230.718,114.854,34.438,226.856,2.067,233.837,160.756,238.152,84.269,244.293,81.906, 
Zacualpan,196.364,113.86,258.354,64.543,132.685,129.923,117.01,73.757,119.925,146.625,77.637,151.202,78.434,108.828,141.091,63.505,114.079,109.439,63.03,52.922,95.192,86.23,117.843,137.261,0,113.555,90.794,89.671,102.665,99.156,91.412,184.851,213.584,204.531,93.576,30.124,87.069,58.598,63.094,79.792,137.746,9.221,90.218,46.634,97.13,86.356,133.362,93.337,115.413,97.652,75.135,103.793,87.045, 
Jala,291.266,151.016,272.659,113.977,20.015,143.788,49.01,160.261,157.081,53.55,172.539,246.104,71.557,144.801,155.396,54.738,2.412,123.744,157.933,103.493,128.78,65.083,50.375,151.125,113.555,0,185.615,184.491,11.224,80.606,186.233,193.498,189.716,299.352,188.397,124.945,132.595,144.341,157.915,174.613,134.12,104.659,185.039,69.879,132.315,181.177,146.049,188.158,15.784,192.473,72.12,198.614,70.34, 
El Porvenir,116.584,203.59,352.828,154.273,204.853,223.957,189.178,163.487,209.655,218.793,17.654,71.422,150.602,198.558,235.565,135.673,186.247,203.913,37.529,142.652,184.922,158.398,190.011,231.294,90.794,185.615,0,9.955,174.801,171.292,8.407,105.136,133.869,124.816,13.861,61.55,176.771,148.3,9.514,11.38,215.254,81.379,1.251,118.77,186.832,6.64,227.183,2.75,187.549,17.937,147.271,24.078,155.14, 
Las Jarretaderas,107.249,202.467,351.705,153.15,203.729,222.834,188.055,162.364,208.532,217.669,16.531,62.087,149.478,197.435,234.442,134.549,185.123,202.79,28.195,141.529,183.799,157.275,188.888,230.171,89.671,184.491,9.955,0,174.114,170.604,18.521,95.679,124.412,115.359,4.404,60.863,176.083,147.612,19.628,10.693,214.566,80.692,9.744,118.082,186.144,3.99,226.495,12.864,186.862,8.48,146.583,14.621,154.452, 
Ahuacatln,280.376,156.769,278.412,119.73,30.462,149.541,54.763,166.014,162.834,43.773,161.649,235.214,77.31,150.554,161.149,43.848,11.856,129.497,147.043,109.246,134.533,70.836,56.128,156.878,102.665,11.224,174.801,174.114,0,87.652,175.876,183.543,179.761,288.995,178.04,114.588,139.641,151.387,147.558,164.256,141.166,94.302,174.682,59.522,139.361,170.82,153.095,177.801,13.829,182.116,79.166,188.257,77.386, 
Francisco I. Madero (Puga),276.866,95.728,217.371,58.607,99.844,88.5,50.639,104.891,101.793,130.156,158.139,231.704,23.949,89.513,100.108,77.67,81.238,68.456,143.533,48.123,73.492,19.859,51.472,95.837,99.156,80.606,171.292,170.604,87.652,0,172.063,265.503,294.236,285.183,174.228,110.776,77.732,89.447,143.746,160.443,79.257,90.49,170.869,55.005,77.452,167.007,91.186,173.988,91.139,178.304,24.42,184.445,17.719, 
Valle de Banderas,124.784,204.208,353.446,154.891,205.471,224.575,189.796,164.105,210.273,219.411,18.272,79.622,151.22,199.176,236.183,136.291,186.865,204.531,45.729,143.27,185.54,159.016,190.629,231.912,91.412,186.233,8.407,18.521,175.876,172.063,0,113.287,142.02,132.967,22.012,62.181,177.402,148.931,7.744,11.616,215.884,82.01,9.601,119.4,187.463,14.791,227.813,6.136,188.18,26.088,147.901,32.229,155.77, 
Mascota,195.976,297.647,446.885,248.33,212.736,318.014,173.594,257.544,303.712,140.248,111.712,150.814,244.659,292.615,329.622,229.73,194.13,297.97,68.099,236.709,278.979,252.456,284.069,325.351,184.851,193.498,105.136,95.679,183.543,265.503,113.287,0,29.06,204.266,91.769,155.21,216.644,188.173,90.874,105.04,255.127,121.253,104.091,158.643,226.705,98.337,267.056,107.211,192.099,88.321,187.144,103.528,195.013, 
Talpa de Allende,224.709,326.38,475.618,277.063,208.954,346.747,233.255,286.277,332.445,136.466,140.445,179.547,273.392,321.348,358.355,258.463,190.348,326.703,96.832,265.442,307.712,281.189,234.62,354.084,213.584,189.716,133.869,124.412,179.761,294.236,142.02,29.06,0,233.345,120.848,184.289,245.723,217.252,119.953,134.119,284.206,150.332,133.17,187.722,255.784,127.416,296.135,136.29,188.092,117.4,216.223,132.607,224.092, 
Tomatln,14.083,317.327,466.565,268.01,318.59,337.694,302.916,277.224,323.392,267.31,131.392,55.295,264.339,312.295,349.302,249.41,299.984,317.65,137.127,256.389,298.659,272.136,303.749,345.031,204.531,299.352,124.816,115.359,288.995,285.183,132.967,204.266,233.345,0,112.137,174.561,289.782,261.311,133.327,124.391,328.264,194.39,123.443,231.78,299.843,117.688,340.193,126.563,300.56,116.213,260.282,103.869,268.15, 
Las Juntas,104.701,206.372,355.61,157.055,207.635,226.739,191.961,166.269,212.437,154.813,20.437,59.539,153.384,201.34,238.347,138.455,189.029,206.695,24.63,145.434,187.704,161.181,192.794,234.076,93.576,188.397,13.861,4.404,178.04,174.228,22.012,91.769,120.848,112.137,0,63.955,179.176,150.705,22.72,13.785,217.658,83.784,12.836,121.174,189.237,7.082,229.587,15.956,189.954,4.59,149.675,12.273,157.544, 
