LOCALIDADES,Churintzio,Fraccionamiento Ex-Hacienda el Refugio,Santa Rita,Zopoco,Fraccionamiento San Miguel,San Miguel de la Paz,Betania,Santa Cruz el Grande,Portezuelo,Chaparaco,Cocucho,Cumuatillo,Tanaco,El Platanal (La Planta),Laguna Larga de Corts,Pamatcuaro,La Sauceda,Villamar,Tlazazalca,La Luz,Atecucario de la Constitucin (Atecuario),Paso de Hidalgo (Paso de lamos),Penjamillo de Degollado,Ocumicho,Patamban (Patambam),Emiliano Zapata,Huncito,Nurio,Fraccionamiento Vistas del Maguey,La Palma (La Palma de Jess),Ichn,Charapan,Valle de Jurez,La Cantera,Santa Mara del Valle,La Rinconada,Briseas de Matamoros,Ixtln de los Hervores,Ecuandureo,Numarn,San Jos de Gracia,San Francisco de Ass,Cuitzeo (La Estancia),Angahuan,Chavinda,Carapan,Cojumatln de Rgules,Santa Clara de Valladares,Tingindn,Chilchota,La Ribera,Mazamitla,Jess Mara,Ario de Rayn (Ario Santa Mnica),Tarecuato,San Jos de Gracia,Tanhuato de Guerrero,San Ignacio Cerro Gordo,Pajacuarn,Santa Ana Pacueco,Santiago Tangamandapio,Vista Hermosa de Negrete,Degollado,Ayotln,Venustiano Carranza,Tototln,Capilla de Guadalupe,Cotija de la Paz,Purpero de Echiz,Tanganccuaro de Arista,Peribn de Ramos,Jamay,Yurcuaro,Jiquilpan de Jurez,Atotonilco el Alto,La Barca,Los Reyes de Salgado,Arandas,Jacona de Plancarte,Sahuayo de Morelos,La Piedad de Cabadas,Ocotln,Zamora de Hidalgo, 
Yurcuaro,39.897,77.453,20.637,101.494,73.99,65.128,65.316,77.047,35.542,75.307,114.991,50.983,116.535,79.834,39.833,126.609,51.832,74.196,60.764,38.068,45.888,31.798,64.055,98.643,104.851,88.151,103.455,124.204,47.32,71.88,105.34,125.49,111.022,77.38,101.09,60.373,34.438,44.101,28.154,44.149,74.102,65.253,68.712,137.852,57.797,84.342,80.581,113.854,100.855,98.039,1.903,120.713,52.549,61.617,84.223,109.283,9.702,84.354,48.156,33.638,66.129,24.08,29.699,34.755,57.61,73.793,94.433,115.262,72.266,86.402,130.942,53.438,0,77.455,49.944,39.355,118.3,67.286,75.925,69.732,30.007,68.545,69.888, 
Jiquilpan de Jurez,104.766,68.657,70.189,94.101,7.239,66.351,90.274,77.184,57.721,70.29,107.598,23.919,111.173,67.836,113.659,77.668,60.48,19.108,95.381,39.498,77.221,44.652,129.624,91.25,73.384,15.783,96.062,116.811,72.279,23.803,97.947,90.369,39.719,56.911,126.048,89.263,40.463,72.991,91.688,126.685,99.06,90.211,68.849,103.056,38.67,100.463,26.939,68.343,55.344,90.646,76.143,49.41,117.015,57.238,42.061,37.98,67.841,109.312,27.847,118.608,45.66,51.39,103.524,99.021,17.51,87.488,119.391,43.959,110.959,79.009,85.431,54.661,77.455,0,75.888,44.312,71.448,112.888,51.997,10.162,115.449,66.768,58.862, 
Atotonilco el Alto,85.887,99.895,28.109,131.587,73.921,39.659,16.397,60.609,18.972,97.749,137.433,50.914,159.702,102.276,84.813,149.967,74.274,74.127,103.931,60.51,90.544,39.496,110.745,121.085,127.293,88.082,131.318,146.646,5.813,71.811,129.552,147.932,110.953,99.822,50.763,82.815,35.307,66.543,72.809,84.673,23.761,14.912,52.274,160.294,80.239,127.509,80.512,140.642,127.643,120.481,48.245,120.644,43.138,84.059,114.36,109.214,52.791,34.027,65.106,74.163,88.571,46.522,50.82,25.144,57.541,31.154,44.106,115.193,115.433,108.844,157.73,49.247,49.944,75.888,0,33.404,146.594,36.417,95.84,67.61,75.933,60.713,89.803, 
La Barca,62.837,65.734,27.517,89.775,42.345,29.781,48.345,40.613,15.792,63.588,103.272,19.338,106.847,68.115,75.558,118.391,40.113,42.551,80.881,26.349,56.903,3.114,87.695,86.924,93.132,56.506,91.736,112.485,30.35,40.235,93.621,113.771,79.377,65.661,84.119,48.654,3.731,32.382,49.759,84.756,57.131,48.282,32.279,126.133,46.078,104.459,48.936,109.066,96.067,86.32,35.069,89.068,59.849,49.898,82.784,77.638,29.741,67.383,33.53,76.679,54.41,10.781,65.424,42.055,25.965,45.559,77.462,83.617,92.383,74.683,126.154,18.09,39.355,44.312,33.404,0,115.086,69.917,66.097,36.102,75.491,29.205,60.06, 
Los Reyes de Salgado,107.947,66.674,141.45,80.633,78.5,137.612,161.535,148.445,128.982,68.306,49.375,95.18,75.29,65.853,131.278,27.93,81.778,65.114,93.397,77.989,77.957,115.913,132.805,56.766,47.9,61.682,82.593,57.393,143.54,95.064,84.479,31.066,81.625,42.313,197.309,72.298,111.724,86.936,91.502,129.312,170.321,161.472,140.11,36.339,58.045,91.769,98.2,6.127,19.58,77.177,116.988,91.849,188.276,70.642,35.047,109.241,108.686,180.573,83.169,121.235,53.726,93.814,137.621,170.282,88.771,158.749,190.652,41.085,102.265,67.112,12.757,125.922,118.3,71.448,146.594,115.086,0,183.13,61.69,80.404,119.682,137.01,65.799, 
Arandas,122.887,136.895,47.15,168.587,110.921,76.659,16.173,108.77,55.972,134.749,174.433,87.914,196.702,139.276,90.209,186.967,111.274,111.127,140.931,97.51,127.544,76.496,113.34,158.085,164.293,125.082,168.318,183.646,42.813,108.811,166.552,184.932,147.953,136.822,29.698,119.815,72.307,103.543,109.809,93.434,30.662,33.332,100.436,197.294,117.239,164.509,117.512,177.642,164.643,157.481,65.587,157.644,20.991,121.059,151.36,146.214,89.791,22.722,102.106,82.923,125.571,83.522,59.58,33.904,94.541,68.164,32.8,152.193,152.433,145.844,194.73,86.247,67.286,112.888,36.417,69.917,183.13,0,125.895,97.665,80.604,90.768,119.858, 
Jacona de Plancarte,48.805,12.68,95.274,38.123,59.049,93.192,110.781,104.025,78.228,14.312,51.62,75.729,55.195,11.859,72.136,44.46,23.602,36.45,39.403,41.121,18.815,59.157,73.663,35.272,22.098,39.646,40.084,60.833,92.786,75.613,41.969,46.253,91.529,19.383,146.555,13.156,61.797,36.747,32.36,70.17,119.567,110.718,95.69,58.94,21.177,44.485,78.749,56.202,43.203,34.668,74.613,101.22,123.051,13.182,26.571,89.79,66.311,129.819,46.301,62.093,13.517,51.439,78.479,105.257,69.32,107.058,139.898,62.61,54.981,23.031,73.29,81.502,75.925,51.997,95.84,66.097,61.69,125.895,0,64.98,60.748,92.374,6.865, 
Sahuayo de Morelos,97.043,75.231,62.466,100.675,8.195,58.628,82.551,69.461,49.998,76.864,114.172,16.196,117.747,74.41,105.936,84.241,72.999,25.682,115.087,31.775,89.789,36.929,121.901,97.824,79.958,22.356,102.636,123.385,64.556,16.08,104.521,96.942,45.227,63.485,118.325,81.54,32.74,65.268,83.965,118.962,91.337,82.488,61.126,109.629,45.244,107.037,19.216,74.916,61.917,97.22,68.42,54.918,109.292,63.812,48.634,43.488,60.118,101.589,20.124,110.885,52.234,43.667,95.801,91.298,9.787,79.765,111.668,49.467,126.589,85.583,92.004,46.938,69.732,10.162,67.61,36.102,80.404,97.665,64.98,0,106.239,57.558,67.571, 
La Piedad de Cabadas,35.364,65.082,54.166,83.887,113.482,103.511,82.156,115.43,83.346,62.936,102.62,90.475,112.002,67.463,12.57,114.238,59.802,97.198,56.231,77.56,47.705,71.29,34.842,86.272,92.48,100.394,83.618,111.833,75.411,111.372,81.852,113.119,150.514,77.375,109.272,49.356,73.93,72.947,29.97,14.936,99.66,90.811,107.095,125.481,75.214,79.809,120.073,114.194,101.195,85.668,30.959,160.205,64.682,58.091,84.563,148.775,38.693,102.297,87.648,3.782,74.265,63.572,20.11,46.888,97.102,112.176,112.375,123.358,67.733,74.031,131.282,91.821,30.007,115.449,75.933,75.491,119.682,80.604,60.748,106.239,0,104.784,54.971, 
Ocotln,92.027,96.708,55.569,120.749,64.801,24.469,75.654,12.454,43.101,94.562,134.246,41.793,165.842,99.089,104.748,140.847,71.087,65.007,110.071,57.323,96.684,35.017,116.885,117.898,124.106,78.962,122.71,143.459,57.659,37.326,124.595,144.745,101.833,96.635,111.428,79.628,30.828,63.356,78.949,113.946,62.86,75.591,4.12,157.107,77.052,133.649,71.391,131.522,118.523,117.294,67.233,111.524,102.395,80.872,105.24,100.094,58.931,74.367,55.985,105.869,85.384,41.755,94.614,84.401,48.42,27.204,131.107,106.073,121.573,105.657,148.61,11.661,68.545,66.768,60.713,29.205,137.01,90.768,92.374,57.558,104.784,0,86.822, 
Zamora de Hidalgo,42.768,8,89.237,32.041,65.914,87.155,104.744,97.988,72.191,5.383,45.538,72.305,49.113,10.381,66.099,48.569,17.565,43.315,33.321,36.29,12.778,53.12,67.626,29.19,26.207,46.511,34.002,54.751,86.749,82.478,35.887,56.037,98.394,23.492,140.518,7.119,55.76,30.71,26.323,64.133,113.53,104.681,89.653,68.399,28.042,38.403,85.614,60.311,47.312,28.586,68.576,108.085,117.014,6.955,30.68,96.655,60.274,123.782,43.074,56.056,20.382,45.402,72.442,99.22,78.932,101.021,133.861,69.475,48.899,16.949,77.399,75.465,69.888,58.862,89.803,60.06,65.799,119.858,6.865,67.571,54.971,86.822,0, 
