LOCALIDADES,Aramberri,Fraccionamiento Misin de San Javier,Portal de las Salinas,Entronque Laredo-Salinas Victoria,La Ascencin,Valle de Vaqueras,Ciudad de Villaldama,Fraccionamiento Cosmpolis Octavo Sector,Marn,El Control,Simeprodeso (Colectivo Nuevo),El Realito,Ciudad Satlite del Norte,General Francisco Villa,Bustamante,Anhuac,Hacienda San Pedro,Ramrez,Colinas del Aeropuerto,General Bravo,Las Escobas,Alianza Real,Nueva Ciudad Guerrero,General Cepeda,Mina,Hidalgo,Los Guerra,Mier,Las Torres,Villas de Alcal,Pesquera,Loma la Paz,Monte Kristal,Hualahuises,Valle de Lincoln,Hctor Caballero,Real del Sol,Emiliano Zapata,Ciudad General Tern,Galeana,Ciudad Cerralvo,Concepcin del Oro,Ciudad Camargo,Misin San Pablo,Arteaga,Salinas Victoria,China,Ex-Hacienda Santa Rosa,Carmen,Prados de Santa Rosa,Santa Rosa,General Zuazua,Nuevo Progreso,Ciudad Gustavo Daz Ordaz,Cinega de Flores,Hidalgo,Villas del Poniente,Parque Industrial Ciudad Mitras,Ciudad Miguel Alemn,Arboledas de San Roque,Ciudad de Allende,San Fernando,Ciudad Sabinas Hidalgo,Fraccionamiento Real Palmas,Santiago,Montemorelos,Valle Hermoso,Jardines de la Silla (Jardines),Linares,Ramos Arizpe,Cadereyta Jimnez,Garca,Ciudad Ro Bravo,San Pedro Garza Garca,Ciudad Benito Jurez,Ciudad Santa Catarina,Ciudad General Escobedo,San Nicols de los Garza,Heroica Matamoros,Ciudad Apodaca,Reynosa,Guadalupe,Saltillo,Monterrey, 
Garca,307.171,60.044,57.784,40.798,267.126,56.035,115.125,43.064,69.967,319.639,38.98,346.642,47.572,381.702,125.975,327.729,53.383,323.806,60.622,167.986,76.285,29.586,203.421,135.21,63.495,239.93,195.051,184.661,50.62,50.782,63.169,61.475,56.245,150.959,14.609,79.051,52.018,48.625,132.773,221.145,123.312,195.469,221.871,61.468,76.051,52.331,166.234,46.845,45.641,47.423,44.864,57.678,295.335,255.083,55.118,54.62,19.208,19.173,198.429,79.316,92.126,341.454,124.771,54.364,69.559,114.13,340.666,54.029,163.503,61.808,81.579,0,286.134,32.261,77.625,21.108,32.883,40.334,351.505,56.729,262.084,49.116,75.023,38.459, 
Ciudad Ro Bravo,484.638,234.305,264.77,247.784,444.593,228.619,330.094,248.569,253.543,39.106,255.075,67.57,254.558,137.603,340.944,48.657,260.369,38.648,244.198,120.221,222.439,265.655,155.959,400.481,281.963,356.598,126.91,136.738,264.027,257.768,246.745,228.851,228.829,303.851,273.878,225.205,259.004,255.611,219.504,387.834,198.164,460.74,98.399,233.849,341.322,261.223,132.785,241.97,264.109,244.401,243.729,246.808,19.319,71.021,262.104,273.089,272.459,272.424,123.084,225.47,243.223,159.276,331.757,261.35,236.504,237.007,61.594,234.511,316.396,327.079,205.445,286.134,0,251.797,222.58,260.584,257.606,242.632,70.85,237.786,27.085,233.603,340.501,244.248, 
San Pedro Garza Garca,313.041,33.15,45.997,29.011,272.996,28.651,104.686,28.642,50.396,287.979,28.541,314.982,35.785,350.042,115.536,296.069,41.596,292.146,41.051,136.326,30.785,53.547,183.85,141.08,56.482,208.751,175.48,165.09,45.254,38.995,43.598,32.202,28.861,119.78,27.88,29.323,40.231,36.838,101.594,203.762,103.74,201.339,202.3,35.707,81.921,41.892,134.574,32.441,38.628,26.564,30.461,43.661,263.675,223.423,43.331,47.608,18.939,24.749,178.858,44.739,60.946,310.275,112.984,42.577,38.38,82.951,309.006,26.645,132.324,67.678,49.919,32.261,251.797,0,30.396,14.938,22.189,19.535,314.292,28.728,224.871,20.311,82.716,8.592, 
Ciudad Benito Jurez,291.442,15.606,56.261,39.275,251.397,7.393,121.585,40.06,45.034,258.762,46.566,285.765,46.049,320.825,132.435,266.852,51.86,262.929,35.689,107.109,7.936,57.146,178.488,191.972,73.454,199.627,170.118,159.728,55.518,49.259,38.236,10.072,7.603,110.655,65.369,3.687,50.495,47.102,75.916,194.638,98.379,252.231,196.938,15.15,132.813,52.714,105.357,33.461,55.6,35.892,35.22,38.299,234.458,194.206,53.595,64.58,63.95,63.915,173.496,9.545,50.027,342.498,123.248,52.841,34.263,73.827,279.789,9.363,123.2,118.57,16.292,77.625,222.58,30.396,0,44.426,48.75,26.474,286.126,28.93,196.705,9.95,113.114,28.09, 
Ciudad Santa Catarina,300.474,41.937,68.2,51.214,260.429,37.438,125.541,53.48,59.183,296.766,49.396,323.769,57.988,358.829,136.391,304.856,63.799,300.933,49.838,145.113,39.572,40.002,192.637,128.513,73.911,221.332,184.267,173.877,61.036,61.198,52.385,40.989,37.648,132.361,23.531,38.11,62.434,59.041,114.175,214.448,112.527,188.772,211.087,44.494,69.354,62.747,143.361,57.261,56.057,57.839,55.28,52.448,272.462,232.21,65.534,65.036,20.435,19.498,187.645,53.526,73.528,322.856,135.187,64.78,50.961,95.532,317.793,35.432,144.905,55.111,58.706,21.108,260.584,14.938,44.426,0,31.448,28.211,324.876,39.312,235.455,30.895,69.808,20.238, 
Ciudad General Escobedo,320.174,28.029,31.823,14.837,280.129,56.614,88.159,13.981,44.117,293.788,12.014,320.791,21.611,355.851,99.009,301.878,27.422,297.955,34.772,142.135,50.434,13.383,177.571,148.213,39.353,223.505,169.201,158.811,26.478,24.821,37.319,35.624,56.824,134.534,21.698,53.2,26.057,17.38,110.942,234.148,97.462,208.472,196.021,29.454,89.054,25.365,140.383,17.781,21.499,18.359,15.8,31.717,269.484,229.232,29.157,30.478,15.503,18.568,172.579,53.465,75.701,377.524,98.81,28.403,53.134,97.705,314.815,49.108,147.078,74.811,55.728,32.883,257.606,22.189,48.75,31.448,0,14.588,323.113,28.337,233.692,40.414,88.18,23.078, 
San Nicols de los Garza,306.022,17.692,33.941,16.955,265.977,27.802,92.754,16.585,33.309,278.814,16.609,305.817,23.729,340.877,103.604,286.904,29.54,282.981,23.963,127.161,21.62,28.227,166.763,157.354,44.549,214.207,158.392,148.002,33.198,26.939,26.51,23.037,28.012,125.236,30.273,28.474,28.175,24.782,107.05,209.218,86.653,217.613,185.212,19.117,98.195,30.394,125.409,10.383,26.695,10.097,11.941,26.573,254.51,214.258,31.275,35.675,21.332,27.142,161.77,35.574,66.403,315.731,100.928,30.521,43.836,88.407,299.841,25.795,137.78,83.952,40.754,40.334,242.632,19.535,26.474,28.211,14.588,0,306.595,11.362,217.174,13.089,96.477,15.769, 
Heroica Matamoros,497.749,299.676,330.141,313.155,457.704,293.99,395.465,313.94,318.914,41.766,320.446,50.6,319.929,114.844,406.315,57.895,325.74,38.329,309.569,185.592,287.81,331.026,221.33,465.852,347.334,333.84,192.281,202.109,329.398,323.139,312.116,294.222,294.2,369.222,339.249,290.576,324.375,320.982,284.875,400.945,263.535,526.111,163.77,299.22,406.693,326.594,198.156,307.341,329.48,309.772,309.1,312.179,56.67,136.392,327.475,338.46,337.83,337.795,188.455,290.841,308.594,136.518,397.128,326.721,301.875,302.378,44.383,299.882,326.17,392.45,270.816,351.505,70.85,314.292,286.126,324.876,323.113,306.595,0,302.434,91.733,298.251,405.149,308.896, 
Ciudad Apodaca,315.108,8.266,35.364,18.378,275.063,24.269,100.688,11.511,23.884,273.968,25.67,300.971,25.152,336.031,111.538,282.058,30.963,278.135,14.538,122.315,30.614,36.25,157.338,171.076,52.558,223.293,148.967,138.577,34.621,28.362,17.085,15.803,24.479,134.322,44.473,33.38,29.598,26.205,91.122,218.304,77.228,231.335,175.787,9.691,111.917,31.817,120.563,6.762,34.704,8.469,7.722,17.148,249.664,209.412,32.698,43.684,43.054,43.019,152.345,33.645,75.489,357.704,102.351,31.944,52.922,97.493,294.995,22.263,146.866,97.674,35.908,56.729,237.786,28.728,28.93,39.312,28.337,11.362,302.434,0,213.08,12.906,112.891,19.793, 
Reynosa,460.588,210.255,240.72,223.734,420.543,204.569,306.044,224.519,229.493,63.267,231.025,90.27,230.508,125.33,316.894,71.357,236.319,67.434,220.148,96.171,198.389,241.605,131.909,376.431,257.913,344.325,102.86,112.688,239.977,233.718,222.695,204.801,204.779,279.801,249.828,201.155,234.954,231.561,195.454,363.784,174.114,436.69,74.349,209.799,317.272,237.173,108.735,217.92,240.059,220.351,219.679,222.758,38.963,46.971,238.054,249.039,248.409,248.374,99.034,201.42,219.173,147.003,307.707,237.3,212.454,212.957,84.294,210.461,292.346,303.029,181.395,262.084,27.085,224.871,196.705,235.455,233.692,217.174,91.733,213.08,0,209.449,316.347,220.094, 
Guadalupe,306.691,14.194,47.441,30.455,266.646,11.278,112.765,31.241,35.96,269.785,37.747,296.788,37.229,331.848,123.615,277.875,43.04,273.952,26.615,118.133,9.767,48.327,169.415,159.442,64.635,214.876,161.044,150.654,46.698,40.439,29.162,14.009,11.488,125.905,56.55,11.95,41.675,38.282,86.94,209.887,89.305,219.701,187.864,14.888,100.283,43.894,116.381,19.877,46.781,18.825,20.837,29.225,245.481,205.229,44.775,55.761,33.304,55.096,164.422,13.524,67.072,353.521,114.428,44.021,44.505,89.076,290.812,9.272,138.449,86.04,31.726,49.116,233.603,20.311,9.95,30.895,40.414,13.089,298.251,12.906,209.449,0,100.079,15.055, 
Saltillo,253.225,117.088,114.828,97.842,213.18,106.126,172.169,100.108,127.012,376.683,96.024,403.686,104.616,438.746,183.019,384.773,110.427,380.85,117.667,225.03,108.26,86.63,260.466,67.555,120.539,289.252,252.096,241.706,107.664,107.826,120.214,118.519,106.336,200.281,80.122,106.798,109.062,105.669,182.095,167.199,180.357,118.493,278.916,118.512,14.874,109.375,223.278,103.889,102.685,104.467,101.908,114.722,352.379,312.127,112.162,111.664,77.026,76.089,255.474,122.214,141.448,390.776,181.815,111.408,118.881,163.452,397.71,104.12,212.825,14.296,138.623,75.023,340.501,82.716,113.114,69.808,88.18,96.477,405.149,112.891,316.347,100.079,0,88.857, 
Monterrey,294.153,25.601,44.924,27.937,254.108,20.008,103.857,27.568,42.847,280.43,27.712,307.433,34.712,342.493,114.707,288.52,40.523,284.597,33.502,128.777,23.236,55.214,176.301,149.745,55.652,202.338,167.931,157.541,42.51,37.922,36.049,24.653,20.218,113.367,31.588,20.68,39.158,35.765,95.181,197.349,96.191,210.004,194.751,28.158,90.586,41.063,127.025,26.763,37.798,25.712,27.723,36.112,256.126,215.874,42.258,46.778,22.647,28.457,171.309,22.254,54.534,303.862,111.911,41.504,31.967,76.538,301.457,18.002,125.911,76.343,42.37,38.459,244.248,8.592,28.09,20.238,23.078,15.769,308.896,19.793,220.094,15.055,88.857,0, 
