LOCALIDADES,Cala Sur,San Isidro,Amixtln,Tlacotepec (San Mateo),Zoatecpan,Coahuixco,Xaltepec,El Mirador,Ahueyahualco,Chicahuaxtla,San Juan Tahitic,Xonocuautla,Chapopote Nez,Espinal,Xochitln de Vicente Surez,Juan Marcos (San Jos Buenavista),Ocotln de Betancourt,Colonias Pedernales,Oyameles,Ayotoxco de Guerrero,Plan de Arroyos,Tzinacapan,La Libertad,General Lzaro Crdenas del Ro,Xoloateno,Nautla,San Francisco,Mecapalapa,Coahuitln,Jicolapa,Los Molinos (San Jos),Zozocolco de Hidalgo,Comaltepec,Las Colonias de Hidalgo,Arroyo del Maz Uno,Las Lomas,Ixtepec,Villa Aldama,Chicontla,Colonia Libertad,Entabladero,Chiconcuautla,Atzingo (La Cumbre),San Jos Acateno,San Francisco,San Andrs Payuca,Caxhuacan,Tepango de Rodrguez,Sosa,Huitzilan,Xaltepuxtla,Estero del dolo,Felipe Carrillo Puerto,La Palmilla,Metlaltoyuca,San Sebastin,Zacate Colorado,El Chote,Coxquihui,San Antonio Limn (Totalco),San Miguel Tenextatiloyan,Tacopan,Cazones de Herrera,Zongozotla,Tatoxcac,Castillo de Teayo,Ciudad de Tetela de Ocampo,Xalacapan,Teteles de Avila Castillo,San Juan Acateno,Yaonhuac,Tecolutla,Puntilla Aldama,Xaltipan,Mecatln,Atoluca,Hueytamalco,Agua Dulce,Ciudad de Cuetzalan,Hueyapan,Venustiano Carranza,Atempan,San Rafael,Tenango de las Flores,Totolapa,Nuevo Necaxa,San Juan Xiutetelco,Zacapoaxtla,Coyutla,Santiago de la Pea,Villa vila Camacho (La Ceiba),Ciudad de Tlatlauquitepec,Zaragoza,Chignautla,Plan de Ayala,Villa Lzaro Crdenas (La Uno),Filomeno Mata,Jalacingo,Gutirrez Zamora,Tihuatln,Alto Lucero,Independencia,Altotonga,lamo,Zacatln,Coatzintla,Tlapacoyan,Perote,Xicotepec de Jurez,Papantla de Olarte,Teziutln,Martnez de la Torre,Txpam de Rodrguez Cano,Poza Rica de Hidalgo, 
Mecatln,109.455,108.869,101.216,107.304,92.252,111.612,125.111,123.072,129.044,61.312,110.553,130.268,119.417,43.852,73.312,133.809,121.311,125.92,134.345,59.191,124.233,72.109,126.816,67.764,111.158,160.436,115.34,89.687,9.324,179.212,146.975,38.615,108.452,120.088,71.886,116.027,70.116,139.3,26.517,136.107,27.489,76.293,185.478,85.333,122.718,155.425,55.401,85.328,110.469,88.223,55.544,114.801,135.352,112.505,126.517,100.614,56.216,59.819,31.632,175.541,130.424,107.867,93.012,92.195,109.996,97.734,132.219,101.655,102.69,98.125,101.668,126.605,126.105,117.108,0,111.97,88.941,67.093,71.244,98.837,73.475,105.006,170.125,118.073,66.467,116.712,119.432,105.231,13.739,113.314,93.884,112.57,123.976,108.722,64.116,55.662,6.103,117.767,115.485,85.273,120.644,125.254,132.192,115.958,182.537,63.014,102.566,155.458,105.752,86.318,104.696,108.36,118.377,68.654, 
Atoluca,20.051,9.423,128.1,134.188,72.472,12.166,219.706,38.745,29.45,226.855,66.629,29.003,181.023,77.661,82.933,34.216,42.373,51.031,36.467,52.87,49.344,88.297,52.208,129.37,11.712,92.321,15.83,182.448,110.966,229.699,47.381,79.642,55.797,214.683,130.437,55.896,106.292,39.706,204.686,36.513,96.068,237.958,231.273,54.994,216.067,80.818,97.257,112.212,11.023,83.688,217.209,176.407,75.09,37.616,188.123,8.044,130.98,101.384,81.343,75.947,55.816,18.866,151.458,92.529,55.561,159.34,95.583,59.322,22.765,7.58,25.607,128.553,73.177,16.666,111.97,0,22.653,97.404,86.281,20.196,147.325,20.461,76.353,211.758,127.008,210.397,11.497,56.638,97.383,173.855,221.478,33.25,46.552,9.599,124.657,149.348,111.757,11.54,118.524,145.814,181.185,50.191,25.44,176.499,226.416,116.086,29.009,48.706,199.437,105.596,5.573,51.173,178.918,124.838, 
Hueytamalco,42.994,30.666,120.043,126.131,85.411,35.109,196.677,61.688,40.878,203.826,89.572,51.788,157.994,54.632,88.954,45.643,65.316,37.753,59.252,29.841,36.066,65.268,75.151,106.341,34.655,79.043,27.174,159.419,87.937,252.642,58.809,56.613,78.74,191.654,107.408,78.839,88.943,51.134,181.657,47.941,73.039,214.929,254.216,31.965,193.038,103.761,74.228,104.155,33.966,102.86,194.18,153.378,61.812,24.338,165.094,29.358,107.951,78.355,58.314,87.375,78.759,41.809,128.429,113.604,78.504,136.311,118.526,82.265,45.708,20.794,48.55,94.675,59.899,28.942,88.941,22.653,0,75.527,64.404,32.554,125.448,41.783,62.099,189.881,105.131,188.52,30.115,77.96,75.507,151.978,199.601,54.572,67.874,30.921,102.78,127.471,89.881,28.45,87.992,123.937,159.308,35.937,42.875,154.622,247.738,94.209,13.249,66.141,177.56,83.719,26.562,36.919,157.041,102.961, 
Agua Dulce,107.634,105.417,119.25,125.338,103.66,99.749,126.844,126.328,115.629,133.993,121.961,126.539,88.161,23.354,107.203,120.394,129.956,70.677,134.003,47.959,100.213,83.517,139.791,36.508,99.295,88.007,101.925,89.586,66.089,180.945,133.56,56.649,119.86,121.821,37.575,127.435,88.15,125.885,111.824,122.692,40.298,145.096,187.211,53.888,123.205,168.401,73.435,103.362,98.606,106.257,124.347,83.545,73.062,80.147,95.261,88.751,38.118,8.523,49.665,162.126,143.399,106.449,58.596,110.229,121.404,66.478,143.627,113.063,110.348,86.262,101.705,54.176,63.815,103.693,67.093,97.404,75.527,0,82.627,98.875,55.614,107.786,72.663,120.047,35.297,118.686,106.017,116.614,53.658,82.144,129.767,112.608,125.909,96.924,32.946,57.637,68.032,104.352,40.106,54.103,89.474,69.428,118.777,84.788,184.511,24.375,89.606,142.043,107.726,13.885,102.464,68.217,87.207,33.127, 
Ciudad de Cuetzalan,74.289,84.331,78.915,85.003,20.69,77.691,155.347,51.509,104.506,162.496,38.991,58.705,149.653,59.542,24.233,109.271,49.749,101.382,62.782,34.653,99.695,2.72,55.253,98,83.701,153.027,90.802,119.923,70.24,99.92,107.188,38.916,36.89,150.324,102.122,44.464,52.807,114.762,107.375,111.569,55.342,173.599,105.951,76.854,152.954,83.862,38.092,63.027,80.196,38.139,152.85,145.037,125.441,87.967,156.753,76.076,86.452,74.314,40.617,111.096,58.861,72.701,123.248,48.883,38.434,127.97,60.657,30.093,67.086,73.587,67.825,120.684,123.528,92.57,71.244,86.281,64.404,82.627,0,74.302,103.713,70.803,126.88,148.311,96.705,146.95,94.896,34.836,57.81,143.552,124.122,56.878,53.581,81.56,94.354,85.9,72.184,93.231,118.829,115.511,150.882,100.718,107.656,146.196,98.871,93.252,78.03,103.721,135.99,89.587,80.161,101.7,148.615,98.892, 
Hueyapan,11.068,20.316,109.291,115.379,53.663,14.47,258.589,19.936,53.202,265.738,47.82,22.281,181.343,66.321,64.124,57.968,23.564,76.532,40.928,40.388,74.845,75.165,33.399,129.69,20.48,117.822,30.582,182.768,97.833,210.89,63.092,66.509,36.988,253.566,130.757,37.087,87.483,63.458,134.968,60.265,82.935,276.841,212.464,55.314,216.387,62.009,84.125,93.403,16.975,64.879,256.092,176.727,100.591,63.117,188.443,13.785,114.045,101.704,68.21,89.242,37.007,9.48,151.778,73.72,36.752,159.66,76.774,40.513,4.303,13.413,3.268,118.024,98.678,29.206,98.837,20.196,32.554,98.875,74.302,0,131.306,6.661,103.259,250.036,128.48,247.553,32.55,37.613,85.403,175.327,151.715,14.225,27.526,17.418,126.129,113.493,99.777,35.188,111.341,147.286,182.657,77.097,48.503,177.971,207.39,117.558,55.915,58.585,259.397,107.068,23.466,78.079,180.39,126.31, 
Venustiano Carranza,157.555,155.338,162.478,165.64,124.719,149.67,76.538,155.539,165.55,83.687,143.02,162.735,74.019,63.872,105.779,170.315,153.778,120.598,166.812,86.409,150.134,104.576,159.283,32.778,149.216,125.45,151.846,27.72,72.471,126.292,183.481,71.082,140.919,71.515,36.9,148.494,102.583,175.806,61.518,172.613,47.29,94.79,132.558,103.809,61.339,257.969,87.868,117.795,148.527,120.69,74.041,69.403,136.336,130.068,81.12,138.672,21.23,48.5,64.099,283.062,162.891,156.37,58.026,124.662,142.463,52.337,163.86,134.122,135.157,136.183,134.135,91.619,127.089,153.614,73.475,147.325,125.448,55.614,103.713,131.306,0,157.58,135.249,69.504,31.59,68.143,155.811,126.492,48.833,78.437,79.224,133.831,145.237,146.718,29.239,7.093,63.207,154.146,80.609,50.396,85.767,119.222,168.571,81.081,133.968,31.094,139.4,191.837,57.183,51.442,152.258,118.011,83.5,33.778, 
Atempan,4.696,13.944,108.145,114.233,52.517,8.099,257.443,18.79,46.831,264.592,46.674,21.135,190.254,72.49,62.978,51.597,22.418,70.161,22.021,46.557,68.474,71.857,32.253,138.601,14.109,111.451,27.521,191.679,104.002,209.744,56.744,72.678,35.842,252.42,139.668,35.941,86.337,57.087,141.137,53.894,89.104,275.695,211.318,64.225,225.298,60.863,96.635,92.257,10.604,63.733,254.946,185.638,94.22,56.746,197.354,21.591,140.211,110.615,74.379,88.096,35.861,3.109,160.689,72.574,35.606,168.571,75.628,39.367,2.81,22.031,5.652,126.935,92.307,22.834,105.006,20.461,41.783,107.786,70.803,6.661,157.58,0,96.848,249.011,137.392,246.528,26.139,36.588,91.733,184.239,285.281,13.199,26.501,11.007,135.041,119.823,106.107,28.777,139.019,156.198,191.569,70.686,42.092,186.883,206.365,126.47,49.504,52.198,258.372,115.98,17.055,71.668,189.302,135.222, 
San Rafael,96.694,84.366,182.518,296.178,147.886,88.809,213.573,115.388,88.198,220.722,143.272,105.488,157.1,97.544,151.429,92.963,119.016,29.246,112.952,92.317,58.782,127.743,128.851,110.236,88.355,18.188,80.874,158.258,169.121,256.83,106.129,119.088,132.44,208.55,111.401,132.539,151.418,98.454,191.586,95.261,143.94,231.825,263.096,48.155,191.877,157.461,136.703,166.63,87.666,160.331,211.076,156.789,11.82,38.716,164.201,83.058,114.158,75.493,120.789,134.695,132.459,95.509,115.537,169.172,132.204,135.418,172.226,135.965,99.408,82.594,102.25,67.173,9.34,82.642,170.125,76.353,62.099,72.663,126.88,103.259,135.249,96.848,0,208.334,108.865,205.851,81.9,129.744,120.698,141.21,209.272,106.356,119.658,82.705,106.514,137.141,135.072,80.235,56.033,122.145,148.54,27.169,86.476,152.83,259.931,90.526,47.347,113.415,187.231,83.86,78.346,25.958,146.273,110.634, 
Tenango de las Flores,253.297,262.545,101.851,105.013,148.045,256.7,7.242,229.941,240.855,14.391,161.422,229.116,134.405,128.305,150.377,246.231,226.749,185.031,217.613,136.256,214.567,149.174,219.721,97.211,262.71,198.666,253.53,67.943,117.069,65.665,233.37,115.68,159.322,2.219,101.334,148.123,127.356,240.018,32.569,239.126,111.723,25.494,71.931,168.242,101.562,197.342,132.466,102.08,259.205,130.605,4.745,129.789,209.552,194.501,141.506,203.105,85.664,112.933,108.697,222.435,212.871,251.71,125.957,134.577,160.865,112.723,103.233,152.524,246.094,200.616,246.833,164.834,200.305,254.02,118.073,211.758,189.881,120.047,148.311,250.036,69.504,249.011,208.334,0,95.883,2.749,262.23,154.557,104.61,126.852,39.508,236.629,224.735,261.312,93.532,62.431,54.377,260.109,152.046,98.922,134.182,183.514,247.591,129.607,68.234,95.386,203.692,230.328,12.599,115.734,216.55,182.303,131.915,98.07, 
Totolapa,137.238,135.021,190.903,194.065,117.711,129.353,111.46,155.932,145.233,118.609,136.012,156.143,54.719,51.698,98.771,149.998,146.77,100.281,159.804,76.303,129.817,97.568,152.275,3.067,128.899,99.197,131.529,56.145,65.463,154.717,163.164,64.074,133.911,106.437,10.034,141.486,95.575,155.489,87.928,152.296,40.282,129.712,160.983,83.492,89.764,180.884,80.86,110.787,128.21,113.682,108.963,50.103,110.083,109.751,61.82,118.355,10.5,28.183,57.091,191.73,155.883,136.053,31.16,117.654,135.455,33.037,192.285,127.114,139.952,115.866,131.309,65.366,100.836,133.297,66.467,127.008,105.131,35.297,96.705,128.48,31.59,137.392,108.865,95.883,0,94.99,135.972,131.126,53.467,48.606,106.071,142.563,149.871,126.879,2.788,33.94,67.841,134.307,54.736,20.564,55.936,99.383,148.732,51.249,158.464,11.255,119.561,171.998,84.03,25.569,132.419,98.172,53.669,7.905, 
Nuevo Necaxa,250.814,260.062,99.368,102.53,145.562,254.217,9.637,227.458,238.372,16.786,158.939,226.633,131.922,126.944,149.016,243.748,224.266,183.67,215.13,134.895,213.206,147.813,217.238,101.496,260.227,196.183,251.047,65.46,115.708,63.182,230.887,114.319,156.839,4.614,99.973,145.64,124.873,237.535,31.208,236.643,110.362,27.889,69.448,166.881,99.079,194.859,131.105,99.597,256.722,128.122,7.14,127.306,207.069,193.14,139.023,201.744,84.303,111.572,107.336,219.952,210.388,249.227,123.474,132.094,158.382,110.24,100.75,150.041,243.611,199.255,244.35,162.351,197.822,251.537,116.712,210.397,188.52,118.686,146.95,247.553,68.143,246.528,205.851,2.749,94.99,0,259.891,152.218,103.051,124.513,37.949,234.29,222.396,258.973,91.973,60.872,52.818,257.77,149.707,96.583,131.843,181.955,245.252,127.268,65.895,93.827,202.133,227.989,11.04,114.175,214.991,180.744,129.576,96.511, 
San Juan Xiutetelco,25.985,12.337,134.034,140.122,78.406,18.1,269.118,44.679,15.439,276.267,72.563,34.78,188.485,85.123,88.867,25.175,48.307,58.494,41.219,60.332,55.569,95.759,58.142,136.832,17.646,99.784,1.805,189.91,118.428,221.419,38.34,87.104,61.731,264.095,137.899,61.83,112.226,30.665,212.148,27.472,103.53,287.37,222.993,62.456,223.529,86.752,104.719,118.146,14.796,89.622,266.621,183.869,82.553,45.079,195.585,17.847,138.442,108.846,88.805,66.906,61.75,24.8,158.92,98.463,61.495,166.802,101.517,65.256,28.699,17.383,31.541,136.016,80.64,3.573,119.432,11.497,30.115,106.017,94.896,32.55,155.811,26.139,81.9,262.23,135.972,259.891,0,63.085,100.331,176.803,224.426,39.697,36.889,16.046,127.605,152.296,114.705,3.124,121.472,148.762,184.133,53.139,16.439,179.447,218.243,119.034,31.957,39.705,202.385,108.544,10.996,54.121,181.866,127.786, 
Zacapoaxtla,40.874,50.122,72.178,78.266,16.55,44.276,161.445,18.094,83.008,168.594,11.179,25.29,183.64,93.529,27.011,87.774,16.333,106.338,29.367,68.64,104.651,35.89,21.838,131.987,50.286,147.628,60.387,153.91,104.227,109.009,73.773,55.351,3.092,156.422,136.109,10.85,50.37,82.871,141.362,90.071,89.329,179.697,110.583,92.435,186.941,50.447,60.668,56.29,46.781,27.766,158.948,179.024,130.397,92.923,190.74,50.906,120.439,108.301,74.604,77.681,25.446,39.286,157.235,36.607,6.665,161.957,50.284,3.401,33.671,50.534,34.41,154.671,128.484,59.011,105.231,56.638,77.96,116.614,34.836,37.613,126.492,36.588,129.744,154.557,131.126,152.218,63.085,0,92,177.742,158.312,22.042,18.745,46.724,128.544,120.09,106.374,64.494,153.019,149.701,185.072,106.403,77.809,180.386,109.965,127.442,85.221,68.885,165.666,123.777,52.772,107.385,182.805,133.082, 
Coyutla,96.019,95.433,87.78,93.868,78.816,98.176,111.675,109.636,115.608,118.824,97.117,116.832,105.981,30.416,59.876,120.373,107.875,112.484,120.909,45.755,110.797,58.673,113.38,54.328,97.722,147,101.904,76.251,12.735,165.776,133.539,25.179,95.016,106.652,58.45,102.591,56.68,125.864,35.092,122.671,14.053,129.927,172.042,71.897,109.282,141.989,41.965,71.892,97.033,74.787,109.178,101.365,121.916,99.069,113.081,87.178,42.78,46.383,18.196,162.105,116.988,94.431,79.576,78.759,96.56,84.298,118.783,88.219,89.254,84.689,88.232,113.169,112.669,103.672,13.739,97.383,75.507,53.658,57.81,85.403,48.833,91.733,120.698,104.61,53.467,103.051,100.331,92,0,99.878,80.448,99.134,110.54,95.286,50.68,42.226,14.677,104.331,102.049,71.837,107.208,111.818,118.756,102.522,169.101,49.578,89.13,142.022,92.316,72.882,91.26,94.924,104.941,55.218, 
Santiago de la Pea,184.085,181.868,213.183,216.345,164.558,176.2,133.74,202.779,192.08,140.889,182.859,202.99,38.16,98.545,145.618,196.845,193.617,156.594,206.651,123.15,186.13,144.415,199.122,45.718,175.746,131.542,178.376,78.425,112.31,176.997,210.011,110.921,180.758,128.717,58.919,188.333,142.422,202.336,124.987,199.143,87.129,151.992,183.263,130.339,112.044,308.674,127.707,157.634,175.057,160.529,131.243,35.85,142.428,166.064,76.888,165.202,57.347,75.03,103.938,333.767,202.73,182.9,40.499,164.501,182.302,48.105,214.565,173.961,186.799,162.713,178.156,97.71,133.181,180.144,113.314,173.855,151.978,82.144,143.552,175.327,78.437,184.239,141.21,126.852,48.606,124.513,176.803,177.742,99.878,0,144.286,190.09,197.399,174.406,50.316,81.468,115.369,181.834,87.447,32.834,8.038,156.197,196.259,36.17,180.744,58.782,176.375,219.525,122.246,73.096,179.946,154.986,5.771,55.432, 
Villa vila Camacho (La Ceiba),289.567,229.491,138.121,141.283,145.128,223.823,46.573,266.211,277.125,53.722,163.429,265.386,149.544,89.615,126.188,282.501,263.019,194.751,253.883,112.067,224.287,124.985,255.991,106.931,223.369,199.604,225.999,83.082,92.88,101.935,269.64,91.491,161.328,41.55,111.054,184.393,122.992,276.288,30.579,275.396,73.252,64.825,108.201,177.962,100.14,233.612,108.277,138.35,222.68,166.875,44.076,144.928,210.49,204.221,156.645,212.825,95.384,122.653,84.508,258.705,249.141,287.98,132.18,170.847,162.872,127.862,139.503,154.531,282.364,210.336,283.103,165.773,201.243,227.767,93.884,221.478,199.601,129.767,124.122,151.715,79.224,285.281,209.272,39.508,106.071,37.949,224.426,158.312,80.448,144.286,0,151.334,162.74,172.736,55.258,24.157,80.71,180.164,106.627,66.738,101.998,145.24,194.589,97.423,109.818,57.112,165.418,271.912,28.986,77.46,178.276,144.029,99.731,59.796, 
Ciudad de Tlatlauquitepec,17.486,26.733,94.22,100.308,38.592,20.888,243.517,4.865,59.62,250.666,32.749,7.053,195.076,80.054,49.053,64.386,8.493,82.95,25.857,54.121,81.263,57.932,18.327,143.423,26.898,124.24,36.999,196.501,111.566,195.818,59.664,77.393,21.917,238.494,144.49,22.016,72.412,69.876,266.346,66.683,96.668,261.769,197.392,69.047,230.12,46.937,82.71,78.332,23.393,49.808,241.02,190.46,107.009,69.535,202.176,27.518,127.778,115.437,81.943,74.17,21.936,15.898,165.511,58.649,21.681,173.393,61.703,25.442,10.283,27.146,11.022,131.757,105.096,35.623,112.57,33.25,54.572,112.608,56.878,14.225,133.831,13.199,106.356,236.629,142.563,234.29,39.697,22.042,99.134,190.09,151.334,0,12.296,23.797,147.831,127.227,113.511,41.566,151.808,168.988,204.359,83.475,54.881,199.673,192.16,139.26,62.293,55.11,244.167,128.77,29.844,84.457,202.092,148.012, 
Zaragoza,30.787,40.035,90.922,97.01,35.294,34.19,231.623,7.431,56.812,238.772,29.452,6.107,202.385,93.355,45.755,61.578,4.239,96.252,13.963,67.422,94.565,54.635,6.433,150.732,40.2,137.542,37.502,276.041,122.972,183.924,54.59,74.096,18.62,226.6,157.791,17.319,69.114,63.688,254.452,69.952,108.074,249.875,185.498,82.348,309.66,35.043,79.413,75.034,36.695,46.51,229.126,197.769,120.311,82.837,209.485,40.819,139.184,128.738,93.349,62.276,10.042,29.2,175.98,55.351,18.383,180.702,49.809,22.145,23.584,40.447,24.323,145.058,118.398,48.925,123.976,46.552,67.874,125.909,53.581,27.526,145.237,26.501,119.658,224.735,149.871,222.396,36.889,18.745,110.54,197.399,162.74,12.296,0,36.979,147.172,138.718,125.002,54.749,164.991,168.329,203.7,96.658,68.064,199.014,180.266,152.442,75.476,50.043,232.273,141.952,43.027,97.64,201.433,161.194, 
Chignautla,10.853,3.211,118.902,124.99,63.274,2.968,268.2,29.547,35.969,275.349,57.431,31.892,179.392,74.414,73.735,40.735,33.175,59.299,28.115,49.623,57.612,82.614,43.01,127.739,3.247,100.589,13.74,180.817,107.718,220.501,55.674,76.394,46.599,263.177,128.806,46.698,97.094,46.225,203.055,43.032,92.82,286.452,222.075,53.363,214.436,71.62,94.01,103.014,1.781,74.49,265.703,174.776,83.358,45.884,186.492,10.729,129.349,99.753,78.095,77.636,46.618,9.668,149.827,83.331,46.363,157.709,86.385,50.124,13.567,11.169,16.409,116.073,81.445,12.364,108.722,9.599,30.921,96.924,81.56,17.418,146.718,11.007,82.705,261.312,126.879,258.973,16.046,46.724,95.286,174.406,172.736,23.797,36.979,0,124.18,148.871,109.728,17.916,128.158,145.337,180.708,59.825,31.231,176.022,216.962,115.609,38.643,51.127,198.96,105.119,6.194,60.807,178.441,124.361, 
Plan de Ayala,134.887,132.67,191.485,194.647,115.36,127.002,100.597,153.581,142.882,107.746,133.661,153.792,55.301,49.347,96.42,147.647,144.419,97.93,157.453,73.952,127.466,95.217,149.924,3.649,126.548,96.846,129.178,56.727,63.112,155.299,160.813,61.723,131.56,95.574,8.296,139.135,93.224,153.138,85.577,149.945,37.931,118.849,161.565,81.141,90.346,178.533,78.509,108.436,125.859,111.331,98.1,50.686,107.732,107.4,62.402,116.004,8.149,25.832,54.74,189.379,153.532,133.702,29.422,115.303,133.104,33.619,192.867,124.763,137.601,113.515,128.958,63.015,98.485,130.946,64.116,124.657,102.78,32.946,94.354,126.129,29.239,135.041,106.514,93.532,2.788,91.973,127.605,128.544,50.68,50.316,55.258,147.831,147.172,124.18,0,31.151,65.053,131.518,51.947,21.156,56.527,96.594,145.943,51.841,159.056,8.466,116.772,169.209,81.241,22.78,129.63,95.383,54.26,5.116, 
Villa Lzaro Crdenas (La Uno),124.109,157.361,159.783,162.945,106.906,151.693,69.496,137.726,167.573,76.645,125.207,144.922,86.453,65.895,87.966,172.338,135.965,122.621,148.999,73.845,152.157,86.763,141.47,34.801,151.239,127.473,153.869,34.511,54.658,123.597,185.504,53.269,123.106,64.473,38.923,130.681,84.77,177.829,54.476,174.636,49.313,87.748,129.863,105.832,67.103,255.274,70.055,99.982,150.55,102.877,66.999,81.837,138.359,132.091,93.553,140.695,23.253,50.523,46.286,280.367,145.078,158.393,60.049,106.849,124.65,64.77,161.165,116.309,117.344,138.206,116.322,93.642,129.112,155.637,55.662,149.348,127.471,57.637,85.9,113.493,7.093,119.823,137.141,62.431,33.94,60.872,152.296,120.09,42.226,81.468,24.157,127.227,138.718,148.871,31.151,0,56.605,156.06,82.523,52.31,87.681,121.136,170.485,82.995,126.927,33.008,141.314,193.751,50.142,53.356,154.172,119.925,85.414,35.692, 
Filomeno Mata,110.393,109.807,102.154,108.242,93.19,112.55,56.411,124.01,129.982,56.85,111.491,131.206,120.355,44.79,74.25,134.747,122.249,126.858,135.283,60.129,125.171,73.047,127.754,68.702,112.096,161.374,116.278,90.625,10.263,116.804,147.913,39.553,109.39,51.251,72.824,116.965,71.054,140.238,22.055,137.045,28.427,71.831,123.07,86.271,123.656,156.363,56.339,86.266,111.407,89.161,51.082,115.739,136.29,113.443,127.455,101.552,57.154,60.757,32.57,176.479,131.362,108.805,93.95,93.133,110.934,98.672,133.157,102.593,103.628,99.063,102.606,127.543,127.043,118.046,6.103,111.757,89.881,68.032,72.184,99.777,63.207,106.107,135.072,54.377,67.841,52.818,114.705,106.374,14.677,115.369,80.71,113.511,125.002,109.728,65.053,56.605,0,118.705,116.423,86.211,121.582,126.192,133.13,116.896,119.792,63.952,103.504,156.396,106.69,87.256,105.634,109.298,119.315,69.592, 
Jalacingo,28.623,14.975,136.672,142.76,81.044,20.738,266.997,47.317,18.288,274.146,75.201,37.418,186.82,83.458,91.505,23.053,50.945,56.829,43.857,58.667,53.448,94.094,60.78,135.167,20.284,98.119,4.697,188.245,116.763,219.298,36.219,85.439,64.369,261.974,136.234,64.468,114.864,28.544,210.483,25.351,101.865,285.249,220.872,60.791,221.864,89.39,103.054,120.784,17.434,92.26,264.5,182.204,80.888,43.414,193.92,15.627,136.777,107.181,87.14,64.785,64.388,27.438,157.255,101.101,64.133,165.137,104.155,67.894,31.337,15.163,34.179,134.351,78.975,6.465,117.767,11.54,28.45,104.352,93.231,35.188,154.146,28.777,80.235,260.109,134.307,257.77,3.124,64.494,104.331,181.834,180.164,41.566,54.749,17.916,131.518,156.06,118.705,0,118.662,145.952,181.323,50.329,14.625,176.637,216.429,116.224,29.147,37.891,199.575,105.734,13.596,51.311,179.056,124.976, 
Gutirrez Zamora,138.865,126.537,238.377,241.539,139.835,130.98,158.934,157.559,130.369,166.083,158.136,147.659,102.461,59.529,120.061,135.134,161.187,71.417,155.123,84.134,100.953,119.692,171.022,55.596,130.526,46.364,123.045,103.619,114.481,202.191,148.3,85.364,156.035,153.911,56.762,163.61,116.865,140.625,136.946,137.432,89.3,177.186,208.457,61.696,137.238,199.632,102.15,132.077,129.837,134.972,156.437,102.15,57.251,80.887,109.562,101.216,59.518,36.348,78.38,176.866,174.63,137.68,60.898,138.944,157.579,80.779,239.759,149.238,141.579,98.727,114.17,11.855,48.004,124.813,115.485,118.524,87.992,40.106,118.829,111.341,80.609,139.019,56.033,152.046,54.736,149.707,121.472,153.019,102.049,87.447,106.627,151.808,164.991,128.158,51.947,82.523,116.423,118.662,0,67.53,93.925,70.17,129.477,98.215,205.316,48.075,90.348,156.416,132.617,29.246,121.347,68.959,91.658,56.019, 
Tihuatln,156.044,153.827,185.253,188.415,136.517,148.159,105.81,174.738,164.039,112.959,154.818,174.949,35.716,70.504,117.577,168.804,165.576,137.529,178.61,95.109,167.065,116.374,171.081,17.677,147.705,112.477,150.335,50.495,84.269,149.067,181.97,82.88,152.717,100.787,28.84,160.292,114.381,174.295,97.057,171.102,59.088,124.062,155.333,102.298,84.114,280.744,99.666,129.593,147.016,132.488,103.313,31.1,123.363,146.999,42.817,137.161,29.306,46.989,75.897,305.837,174.689,154.859,39.768,136.46,154.261,14.034,186.635,145.92,158.758,134.672,150.115,78.645,114.116,152.103,85.273,145.814,123.937,54.103,115.511,147.286,50.396,156.198,122.145,98.922,20.564,96.583,148.762,149.701,71.837,32.834,66.738,168.988,168.329,145.337,21.156,52.31,86.211,145.952,67.53,0,39.677,117.914,167.263,31.345,152.021,29.786,138.092,190.529,93.523,44.1,150.95,116.703,37.41,26.436, 
Alto Lucero,191.415,189.198,220.513,223.675,171.888,183.53,141.07,210.109,199.41,148.219,190.189,210.32,29.32,105.875,152.948,204.175,200.947,163.924,213.981,130.48,193.46,151.745,206.452,53.048,183.076,138.872,185.706,85.755,119.64,184.327,217.341,118.251,188.088,136.047,66.249,195.663,149.752,209.666,132.317,206.473,94.459,159.322,190.593,137.669,119.374,316.004,135.037,164.964,182.387,167.859,138.573,37.742,149.758,173.394,65.411,172.532,64.677,82.36,111.268,341.097,210.06,190.23,49.025,171.831,189.632,55.436,221.895,181.291,194.129,170.043,185.486,105.04,140.511,187.474,120.644,181.185,159.308,89.474,150.882,182.657,85.767,191.569,148.54,134.182,55.936,131.843,184.133,185.072,107.208,8.038,101.998,204.359,203.7,180.708,56.527,87.681,121.582,181.323,93.925,39.677,0,164.647,204.71,33.62,189.195,67.233,184.825,227.976,130.697,81.547,188.397,163.436,9.775,63.883, 
