LOCALIDADES,Ejido Sinaloa (Estacin Kasey),Vias del Sol,Ejido Hechicera,Francisco Zarco (Valle de Guadalupe),Rancho Verde,Michoacn de Ocampo,Los Valles,Poblado Paredones,Lomas del Valle,Real del Castillo Nuevo (Ojos Negros),Parajes del Valle,Nuevo Len,Benito Jurez (Ejido Tecolotes),Cereso del Hongo,Nueva Colonia Hind,Primo Tapia,Ejido Hermosillo,Delta (Estacin Delta),Vicente Guerrero (Algodones),Ingeniero Luis B. Snchez,Ciudad Coahuila (Kilmetro Cincuenta y Siete),Quinta del Cedro,Ampliacin Ejido Plan Libertador,Colonia Venustiano Carranza (La Carranza),Benito Garca (El Zorrillo),Lomas de Santa Anita,Maclovio Rojas,Ciudad Morelos (Cuervos),San Luis,El Sauzal de Rodrguez,El Nio,Villa del Prado,Progreso,Villa del Campo,Puebla,Las Delicias,Ciudad Guadalupe Victoria (Kilmetro Cuarenta y Tres),Villa del Prado 2da Seccin,Terrazas del Valle,Rodolfo Snchez Taboada (Maneadero),La Joya,Santa Isabel,Prticos de San Antonio,El Refugio,Tecate,Playas de Rosarito,San Luis Ro Colorado,Ensenada,Mexicali,Tijuana, 
El Sauzal de Rodrguez,252.05,225.94,263.584,31.268,14.716,254.107,82.874,284.579,101.099,54.999,121.36,268.692,276.859,144.77,95.986,54.22,293.194,275.055,308.459,303.538,304.51,86.203,82.287,286.219,34.73,106.921,98.995,292.028,87.424,0,104.375,101.133,222.956,111.107,258.701,94.689,294.663,89.185,102.127,26.314,86.534,228.104,86.076,96.417,106.758,74.94,307.988,11.717,237.705,95.036, 
El Nio,172.484,146.374,184.018,101.571,120.682,174.541,29.647,205.013,4.026,159.379,6.909,189.126,197.293,65.204,36.609,53.198,213.628,195.489,228.893,223.972,224.944,40.483,43.026,206.653,139.11,26.135,6.761,212.462,25.243,104.375,0,28.262,142.438,8.13,178.183,21.817,214.145,30.873,6.233,130.51,29.051,147.586,38.65,9.881,24.766,47.311,227.47,115.913,157.187,27.936, 
Villa del Prado,202.964,176.854,214.498,113.132,117.44,205.021,4.053,235.493,24.556,156.137,35.738,219.606,227.773,95.685,65.194,49.956,244.108,225.969,259.373,254.452,255.424,15.587,11.251,237.133,135.868,58.913,22.452,242.942,4.833,101.133,28.262,0,163.855,35.337,199.6,4.123,235.562,3.25,26.517,112.869,7.282,169.003,13.995,20.647,46.184,14.597,248.887,98.272,178.604,18.245, 
Progreso,38.999,6.387,50.533,193.66,233.041,39.707,164.897,71.528,143.786,277.961,136.069,54.292,63.808,86.718,128.698,188.448,80.143,60.655,95.408,89.138,90.11,172.779,175.322,71.819,257.692,122.417,142.988,78.977,160.493,222.956,142.438,163.855,0,133.311,25.952,164.021,71.727,173.077,150.379,245.257,166.593,5.147,165.743,153.868,117.729,189.515,92.172,230.66,16.593,155.029, 
Villa del Campo,165.809,139.699,177.343,94.896,127.414,167.866,36.379,198.338,11.235,166.111,1.761,182.451,190.618,58.529,29.934,59.93,206.953,188.814,222.218,217.297,218.269,47.215,49.758,199.978,145.842,19.46,14.47,205.787,31.975,111.107,8.13,35.337,133.311,0,171.512,28.991,207.474,38.047,17.31,146.763,36.226,140.915,45.825,17.055,18.095,54.485,220.799,132.166,150.516,35.111, 
Puebla,9.664,23.345,21.198,229.405,268.786,13.429,200.642,42.193,179.531,313.706,171.814,28.014,34.473,122.462,164.443,224.193,50.808,34.377,66.073,64.051,65.022,208.524,211.067,57.111,293.437,158.162,178.733,49.642,196.238,258.701,178.183,199.6,25.952,171.512,0,199.271,49.09,208.327,185.629,280.507,201.843,25.759,200.993,189.118,152.979,224.765,62.415,265.91,11.854,190.279, 
Las Delicias,196.519,170.409,208.053,106.688,110.996,198.576,3.602,229.048,18.111,149.693,29.293,213.161,221.328,89.24,58.749,43.512,237.663,219.524,252.928,248.007,248.979,19.12,12.453,230.688,129.424,52.468,16.007,236.497,3.929,94.689,21.817,4.123,164.021,28.991,199.271,0,235.888,6.401,26.843,111.367,10.433,169.329,17.146,20.973,46.51,28.167,249.213,96.77,178.93,18.571, 
Ciudad Guadalupe Victoria (Kilmetro Cuarenta y Tres),41.17,70.482,39.008,265.367,304.748,32.524,236.604,47.808,215.493,349.668,207.776,18.314,40.088,158.424,200.405,260.155,40.7,11.576,71.688,18.692,19.663,244.486,247.029,12.017,329.399,194.124,214.695,55.257,232.2,294.663,214.145,235.562,71.727,207.474,49.09,235.888,0,239.682,216.984,311.862,233.198,71.063,232.348,220.473,184.334,256.12,46.664,297.265,57.926,221.634, 
Villa del Prado 2da Seccin,205.575,179.465,217.109,101.184,105.492,207.632,6.664,238.104,27.167,144.189,38.349,222.217,230.384,98.296,67.805,38.008,246.719,228.58,261.984,257.063,258.035,14.945,9.826,239.744,123.92,61.524,25.063,245.553,2.82,89.185,30.873,3.25,173.077,38.047,208.327,6.401,239.682,0,24.459,115.264,6.64,166.945,13.353,18.589,44.126,15.084,246.829,100.667,176.546,16.187, 
Terrazas del Valle,182.877,156.767,194.411,110.069,118.434,184.934,27.559,215.406,3.094,157.131,17.612,199.519,207.686,75.598,45.107,50.95,224.021,205.882,239.286,234.365,235.337,38.395,40.938,217.046,136.862,38.826,3.599,222.855,23.155,102.127,6.233,26.517,150.379,17.31,185.629,26.843,216.984,24.459,0,128.659,27.325,158.897,27.869,5.301,37.837,45.46,238.781,114.062,168.498,17.155, 
Rodolfo Snchez Taboada (Maneadero),277.755,251.645,289.289,56.973,26.337,279.812,108.579,310.284,126.804,59.256,147.065,294.397,302.564,170.475,121.691,79.925,318.899,300.76,334.164,329.243,330.215,111.908,107.992,311.924,9.065,132.626,124.7,317.733,113.129,26.314,130.51,112.869,245.257,146.763,280.507,111.367,311.862,115.264,128.659,0,112.648,254.219,112.19,122.531,132.873,101.054,334.103,15.101,263.82,121.15, 
La Joya,199.091,172.981,210.625,98.533,102.841,201.148,10.696,231.62,25.346,141.538,36.528,215.733,223.9,91.812,61.321,35.357,240.235,222.096,255.5,250.579,251.551,9.138,8.424,233.26,121.269,55.04,23.241,239.069,7.997,86.534,29.051,7.282,166.593,36.226,201.843,10.433,233.198,6.64,27.325,112.648,0,175.765,7.534,21.009,54.705,12.36,255.649,97.867,185.366,12.221, 
Santa Isabel,33.363,2.32,44.897,198.808,238.189,39.013,170.045,65.892,148.934,283.109,141.217,53.598,58.172,91.866,133.846,193.596,74.507,59.961,89.772,88.444,89.416,177.927,180.47,71.125,262.84,127.565,148.136,73.341,165.641,228.104,147.586,169.003,5.147,140.915,25.759,169.329,71.063,166.945,158.897,254.219,175.765,0,170.891,159.016,122.877,194.663,86.128,235.808,13.195,160.177, 
Prticos de San Antonio,198.241,172.131,209.775,98.075,102.383,200.298,17.409,230.77,34.945,141.08,46.127,214.883,223.05,90.962,60.471,34.899,239.385,221.246,254.65,249.729,250.701,4.131,7.991,232.41,120.811,54.19,32.84,238.219,15.784,86.076,38.65,13.995,165.743,45.825,200.993,17.146,232.348,13.353,27.869,112.19,7.534,170.891,0,30.78,55.122,10.547,256.066,96.053,185.783,12.638, 
El Refugio,186.366,160.256,197.9,113.558,112.724,188.423,21.689,218.895,6.175,151.421,17.357,203.008,211.175,79.087,48.596,45.24,227.51,209.371,242.775,237.854,238.826,32.525,35.068,220.535,131.152,29.302,4.071,226.344,17.285,96.417,9.881,20.647,153.868,17.055,189.118,20.973,220.473,18.589,5.301,122.531,21.009,159.016,30.78,0,27.89,39.73,230.593,108.332,160.31,20.356, 
Tecate,150.227,124.117,161.761,77.462,116.843,152.284,47.226,182.756,26.114,161.763,18.397,166.869,175.036,42.947,12.499,70.776,191.371,173.232,206.636,201.715,202.687,56.867,59.41,184.396,141.494,3.702,25.316,190.205,42.822,106.758,24.766,46.184,117.729,18.095,152.979,46.51,184.334,44.126,37.837,132.873,54.705,122.877,55.122,27.89,0,65.381,206.473,117.667,136.19,42.032, 
Playas de Rosarito,222.013,195.903,233.547,86.939,91.247,224.07,25.38,254.542,43.605,129.944,54.787,238.655,246.822,114.734,84.243,23.763,263.157,245.018,278.422,273.501,274.473,11.805,7.889,256.182,109.675,77.962,41.501,261.991,29.93,74.94,47.311,14.597,189.515,54.485,224.765,28.167,256.12,15.084,45.46,101.054,12.36,194.663,10.547,39.73,65.381,0,268.107,86.302,197.824,20.783, 
San Luis Ro Colorado,54.495,83.807,42.028,278.692,318.073,75.402,249.929,30.777,228.818,362.993,221.101,66.162,30.77,171.749,213.73,273.48,21.825,72.927,41.398,45.091,45.736,257.811,260.354,64.53,342.724,207.449,228.02,28.677,245.525,307.988,227.47,248.887,92.172,220.799,62.415,249.213,46.664,246.829,238.781,334.103,255.649,86.128,256.066,230.593,206.473,268.107,0,315.957,77.968,240.326, 
Ensenada,263.158,237.048,274.692,42.376,12.661,265.215,93.982,295.687,112.207,45.58,132.468,279.8,287.967,155.878,107.094,65.328,304.302,286.163,319.567,314.646,315.618,97.311,93.395,297.327,23.722,118.029,110.103,303.136,98.532,11.717,115.913,98.272,230.66,132.166,265.91,96.77,297.265,100.667,114.062,15.101,97.867,235.808,96.053,108.332,117.667,86.302,315.957,0,248.572,105.902, 
Mexicali,25.169,10.874,36.703,208.409,247.79,25.876,179.646,57.698,158.535,292.71,150.818,40.461,49.978,101.467,143.447,203.197,66.313,46.824,81.578,75.307,76.279,187.528,190.071,57.988,272.441,137.166,157.737,65.147,175.242,237.705,157.187,178.604,16.593,150.516,11.854,178.93,57.926,176.546,168.498,263.82,185.366,13.195,185.783,160.31,136.19,197.824,77.968,248.572,0,169.19, 
Tijuana,187.527,161.417,199.061,114.719,111.343,189.584,19.287,220.056,24.231,150.04,35.413,204.169,212.336,80.248,49.757,43.859,228.671,210.532,243.936,239.015,239.987,14.383,16.926,221.696,129.771,43.476,22.126,227.505,14.883,95.036,27.936,18.245,155.029,35.111,190.279,18.571,221.634,16.187,17.155,121.15,12.221,160.177,12.638,20.356,42.032,20.783,240.326,105.902,169.19,0, 
